link,brand,category,image,price
https://www.zalora.co.id/p/hush-puppies-dawson-lace-boots-green-4421069,Hush Puppies,boots,https://dynamic.zacdn.com/HJa1PNuVD1P4y-Mh9nR77f2ZczU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-6990-9601244-1.jpg,Rp 999.000
https://www.zalora.co.id/p/hush-puppies-diemen-kross-lace-boots-black-4143316,Hush Puppies,boots,https://dynamic.zacdn.com/8L5CZrczLPmSbQKdIJuhvBUr7iI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-5345-6133414-1.jpg,Rp 2.199.000
https://www.zalora.co.id/p/hush-puppies-benson-laces-boots-beige-brown-4714850,Hush Puppies,boots,https://dynamic.zacdn.com/Z2ehiqvs11vSZUIbMjlJ66WmXe8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-0139-0584174-1.jpg,Rp 1.999.000
https://www.zalora.co.id/p/hush-puppies-alpha-chelsea-boots-black-4256077,Hush Puppies,boots,https://dynamic.zacdn.com/Th4I4-TzJA3RNWC08NbSjCBoeyY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-8076-7706524-1.jpg,Rp 2.599.000
https://www.zalora.co.id/p/hush-puppies-dawson-lace-boots-black-4421068,Hush Puppies,boots,https://dynamic.zacdn.com/vwGJfiUaNoFu5V1vdWnGBx-0wi4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-9759-8601244-1.jpg,Rp 999.000
https://www.zalora.co.id/p/hush-puppies-dawson-lace-boots-navy-4421067,Hush Puppies,boots,https://dynamic.zacdn.com/aCsfXwExQ2v7r93JFB8Xm0lXafU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-5861-7601244-1.jpg,Rp 999.000
https://www.zalora.co.id/p/obermain-suton-jovi-black-4361469,Obermain,boots,https://dynamic.zacdn.com/wUI16Gsu7h_24zFDPAT-o4k6mew=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/obermain-5416-9641634-1.jpg,Rp 2.699.000
https://www.zalora.co.id/p/obermain-stony-joseph-brown-4283109,Obermain,boots,https://dynamic.zacdn.com/UhMZgjjVKEuD3cn-z5TJQ3UGEz8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/obermain-8514-9013824-1.jpg,Rp 2.899.000
https://www.zalora.co.id/p/hush-puppies-henley-frost-zip-boots-black-3994430,Hush Puppies,boots,https://dynamic.zacdn.com/QEaI4UhQ_Ka9B0FDNfXFLJPPzhA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-1921-0344993-1.jpg,Rp 2.599.000
https://www.zalora.co.id/p/hush-puppies-briggs-chukka-multi-3736994,Hush Puppies,boots,https://dynamic.zacdn.com/44_OSnWIC_3nP1yzoHv1hetLFUs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-8050-4996373-1.jpg,Rp 2.199.000
