link,brand,category,image,price
https://www.zalora.co.id/p/salvatore-ferragamo-gancini-ornament-moccasins-ik-black-4716297,Salvatore Ferragamo,loafers,https://dynamic.zacdn.com/pMozNTbdsIDj9Qh2BMhPmh_Vgw8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-7231-7926174-1.jpg,Rp 15.579.000
https://www.zalora.co.id/p/valentino-vlogo-signature-driver-shoes-ik-black-4697244,Valentino,loafers,https://dynamic.zacdn.com/L0tjf_9NHg4TNsIm-Fobt2XsZug=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0906-4427964-1.jpg,Rp 18.579.000
https://www.zalora.co.id/p/bally-bally-parsal-leather-drivers-in-coffee-4310249,BALLY,loafers,https://dynamic.zacdn.com/IzqL8C2Vp9Bv8K5AJcGf5U-k47E=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-2057-9420134-1.jpg,Rp 12.980.000
https://www.zalora.co.id/p/ferragamo-gancini-ornament-driver-loafers-bb-black-4670327,Ferragamo,loafers,https://dynamic.zacdn.com/GmjlxT0sHob0a7XiDp-cUcskqzk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/ferragamo-2448-7230764-1.jpg,Rp 14.449.000
https://www.zalora.co.id/p/ferragamo-gancini-ornament-driver-loafers-bb-black-4670328,Ferragamo,loafers,https://dynamic.zacdn.com/oGvOFYg0gEnomFkX5PfKrD4Kszc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/ferragamo-2427-8230764-1.jpg,Rp 14.449.000
https://www.zalora.co.id/p/bally-bally-pearce-leather-drivers-in-brown-4310444,BALLY,loafers,https://dynamic.zacdn.com/nlbK3V7lCIyH0s-rQrm3v0GWzOI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-1801-4440134-1.jpg,Rp 9.880.000
https://www.zalora.co.id/p/bally-bally-scandor-calfskin-leather-oxford-shoes-black-black-4265790,BALLY,loafers,https://dynamic.zacdn.com/e7NfpvnSBh2W99jWLWmuO2-A25w=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-2186-0975624-1.jpg,Rp 15.340.000
https://www.zalora.co.id/p/fendi-fendi-o-lock-leather-loafers-black-black-4141329,Fendi,loafers,https://dynamic.zacdn.com/eJLEXqYQWlJxPMhGv8m3N_wP9ts=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/fendi-4607-9231414-1.jpg,Rp 13.980.000
https://www.zalora.co.id/p/bally-bally-scribe-calf-leather-oxford-shoes-black-black-4265766,BALLY,loafers,https://dynamic.zacdn.com/_3wEDJL31v5Ckvguw4BRfVefrRI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-2187-6675624-1.jpg,Rp 14.830.000
https://www.zalora.co.id/p/bally-bardony-loafers-oc-brown-2682293,BALLY,loafers,https://dynamic.zacdn.com/cwm_LaIuTi35WYL_NQ4C1wLB6es=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-8708-3922862-1.jpg,Rp 11.779.000
https://www.zalora.co.id/p/bally-bally-mincio-leather-coffee-4324064,BALLY,loafers,https://dynamic.zacdn.com/84t-CEufKHmwtCRsSc6OVOUa5RQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-1857-4604234-1.jpg,Rp 7.250.000
https://www.zalora.co.id/p/bally-bally-saix-textured-leather-loafers-black-black-4265765,BALLY,loafers,https://dynamic.zacdn.com/Pb0-aM794rwNz9Na95qqCbBQA28=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-2186-5675624-1.jpg,Rp 11.000.000
https://www.zalora.co.id/p/bally-bally-nick-leather-black-4324065,BALLY,loafers,https://dynamic.zacdn.com/bsD3erdnSW-TnQ9ArwnJLNN8OfU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-2072-5604234-1.jpg,Rp 6.800.000
https://www.zalora.co.id/p/bally-bally-micson-leather-black-4324087,BALLY,loafers,https://dynamic.zacdn.com/lzTnzma7CCPYVxAV5Q6QGVNVQ50=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-1782-7804234-1.jpg,Rp 6.800.000
https://www.zalora.co.id/p/bally-bally-piotre-fango-4324078,BALLY,loafers,https://dynamic.zacdn.com/0nSSRA5b7R1yvGuSubkUaX5NPzk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-1858-8704234-1.jpg,Rp 6.800.000
https://www.zalora.co.id/p/bally-bally-neruda-calf-plain-black-4305252,BALLY,loafers,https://dynamic.zacdn.com/Xm-ieBb-HfXaNMmO4Yc-OQyKigY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-1802-2525034-1.jpg,Rp 6.500.000
https://www.zalora.co.id/p/bally-bally-kerbs-smooth-leather-drivers-dark-mineral-grey-4265762,BALLY,loafers,https://dynamic.zacdn.com/NfDgfrtGsAybB2Z8iH7zA51ioC4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-2183-2675624-1.jpg,Rp 9.890.000
https://www.zalora.co.id/p/cole-haan-cole-haan-4zg-woven-oxford-black-3567381,Cole Haan,loafers,https://dynamic.zacdn.com/dzayTauTnkWXTaBapaKXX93xmbk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-3578-1837653-1.jpg,Rp 5.599.000
https://www.zalora.co.id/p/bally-bally-karlos-grained-leather-drivers-black-black-4265780,BALLY,loafers,https://dynamic.zacdn.com/SmOfyNqcF81b50CSlcbve3XktLU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-2182-0875624-1.jpg,Rp 8.440.000
https://www.zalora.co.id/p/cole-haan-cole-haan-man-4-zero-grand-oxford-sepatu-pria-multi-2666182,Cole Haan,loafers,https://dynamic.zacdn.com/qmGAR0-KRuIQzofhpF56n2GwGLc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-0640-2816662-1.jpg,Rp 4.499.000
https://www.zalora.co.id/p/cole-haan-cole-haan-man-4-zero-grand-oxford-sepatu-pria-multi-2666221,Cole Haan,loafers,https://dynamic.zacdn.com/GJs00Wo5WTzTkBynGAO-D2Mo-0Q=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-9390-1226662-1.jpg,Rp 4.499.000
https://www.zalora.co.id/p/cole-haan-cole-haan-man-5-zerogrand-monk-strap-running-shoe-sepatu-pria-putih-white-3930236,Cole Haan,loafers,https://dynamic.zacdn.com/rI-4eoEGEOcElBdsVyM8kx2DBwA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-6164-6320393-1.jpg,Rp 3.799.000
https://www.zalora.co.id/p/cole-haan-cole-haan-man-5-zerogrand-monk-strap-running-shoe-sepatu-pria-hitam-black-3930495,Cole Haan,loafers,https://dynamic.zacdn.com/ihtkAyjXPjGMDrzxjWXKxiB5C1s=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-6147-5940393-1.jpg,Rp 3.799.000
https://www.zalora.co.id/p/cole-haan-cole-haan-modern-essentials-cap-oxfordblack-wp-black-3428001,Cole Haan,loafers,https://dynamic.zacdn.com/sfowwk1bCKD73mg3DAOrVk9i_6k=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-7622-1008243-1.jpg,Rp 3.699.000
https://www.zalora.co.id/p/birkenstock-utti-textile-black-4370262,Birkenstock,loafers,https://dynamic.zacdn.com/9KEFBADQ939MfnKmuXeHJNQJ404=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/birkenstock-6152-2620734-1.jpg,Rp 3.599.000
https://www.zalora.co.id/p/birkenstock-utti-textile-brown-4370206,Birkenstock,loafers,https://dynamic.zacdn.com/ydJUTw_M6OB2ev_SlINllkiWweA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/birkenstock-6060-6020734-1.jpg,Rp 3.599.000
https://www.zalora.co.id/p/mario-minardi-armando-brown-4593887,Mario Minardi,loafers,https://dynamic.zacdn.com/FBesrUa5lZgewbGTwfh6--HhVRs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-9037-7883954-1.jpg,Rp 3.700.000
https://www.zalora.co.id/p/mario-minardi-armando-black-4593885,Mario Minardi,loafers,https://dynamic.zacdn.com/8JUitwafdixz4xXk15ccQQGamH8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-9000-5883954-1.jpg,Rp 3.700.000
https://www.zalora.co.id/p/mario-minardi-orlando-walnut-4593884,Mario Minardi,loafers,https://dynamic.zacdn.com/3DaVRgIkVMupXBdDtWqp3RQbxrM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-9056-4883954-1.jpg,Rp 3.700.000
https://www.zalora.co.id/p/mario-minardi-eros-brown-4771091,Mario Minardi,loafers,https://dynamic.zacdn.com/i6HNbOc9tZp8RM0J5yHM4B4Dgag=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-8552-1901774-1.jpg,Rp 3.700.000
https://www.zalora.co.id/p/mario-minardi-enzo-wine-purple-3901483,Mario Minardi,loafers,https://dynamic.zacdn.com/YObLbnUxC5SCEk5K9fVSP0TWpMc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-8071-3841093-1.jpg,Rp 3.700.000
https://www.zalora.co.id/p/mario-minardi-monza-black-black-2377980,Mario Minardi,loafers,https://dynamic.zacdn.com/OPGa11vo3la2grx5v6xE8PyIV_o=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-7900-0897732-1.jpg,Rp 3.700.000
https://www.zalora.co.id/p/mario-minardi-mauro-black-4771095,Mario Minardi,loafers,https://dynamic.zacdn.com/zVRB_1cJ6aQns2g8dHkcxTAwMWE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-8470-5901774-1.jpg,Rp 3.700.000
https://www.zalora.co.id/p/mario-minardi-cadenza-tan-brown-3727123,Mario Minardi,loafers,https://dynamic.zacdn.com/Of9yjAqQ1tpvh4tAptekUTfijao=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-8057-3217273-1.jpg,Rp 3.700.000
https://www.zalora.co.id/p/mario-minardi-elmo-brown-brown-2477570,Mario Minardi,loafers,https://dynamic.zacdn.com/yhPbHhlHDXth5dBsdcR0U1l3slE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-7850-0757742-1.jpg,Rp 3.700.000
https://www.zalora.co.id/p/mario-minardi-enzo-tan-brown-3898368,Mario Minardi,loafers,https://dynamic.zacdn.com/pn-GNXUOt7I2iRFkRraSvwuQP4k=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-8070-8638983-1.jpg,Rp 3.700.000
https://www.zalora.co.id/p/mario-minardi-elmo-tan-brown-1590243,,loafers,https://dynamic.zacdn.com/ImDmzmug79Roq7gFm5tpNbgrKrA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-7853-3420951-1.jpg,
https://www.zalora.co.id/p/mario-minardi-cadenza-black-black-3727125,,loafers,https://dynamic.zacdn.com/c5dIzzEJOKyk3huqB-zQ60OFMXE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-8059-5217273-1.jpg,
https://www.zalora.co.id/p/mario-minardi-enzo-black-black-3901485,,loafers,https://dynamic.zacdn.com/Vpx_dZsqA7RjKdReNRYUvmCP-XM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-8069-5841093-1.jpg,
https://www.zalora.co.id/p/mario-minardi-orlando-black-4593886,,loafers,https://dynamic.zacdn.com/G6CCNKsnRUFeRAZa4DmmBDQrdQ8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-9042-6883954-1.jpg,
https://www.zalora.co.id/p/mario-minardi-monza-tan-brown-2378145,,loafers,https://dynamic.zacdn.com/w0aVKz0dgjxtPfrBjkbTpMkweyw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-7899-5418732-1.jpg,
https://www.zalora.co.id/p/mario-minardi-monaco-black-black-2465670,,loafers,https://dynamic.zacdn.com/_XXE-uhoKhBrR_MFNHIjY_9IIn4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-7898-0765642-1.jpg,
https://www.zalora.co.id/p/mario-minardi-marzo-black-4582515,,loafers,https://dynamic.zacdn.com/90Jpi8l7rib0SzcIjnLP1gBubB4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-9019-5152854-1.jpg,
https://www.zalora.co.id/p/mario-minardi-marzo-brown-4582516,,loafers,https://dynamic.zacdn.com/RLbEPorDFKnA2-gavZn5Eobmdvk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-9009-6152854-1.jpg,
https://www.zalora.co.id/p/mario-minardi-mauro-tan-4771096,,loafers,https://dynamic.zacdn.com/rIhAqs6UNmFm2yY8NRrjhUDAs7Y=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-8564-6901774-1.jpg,
https://www.zalora.co.id/p/dr-martens-dr-martens-adrian-snaffle-hair-on-loafer-black-4661461,,loafers,https://dynamic.zacdn.com/Aw6URpLjyKtODmO3x2vbvsExK-M=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/dr-martens-8367-1641664-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-man-zero-grand-stitchlite-oxford-sepatu-pria-multi-2667273,,loafers,https://dynamic.zacdn.com/XGoIDD4fT9pHJ57BsJgJZBbzmCU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-9655-3727662-1.jpg,
