link,brand,category,image,price
https://www.zalora.co.id/p/adidas-adilette-comfort-slides-black-3551761,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/x44LfP4rk50QzphPpA1AcA524-o=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-0279-1671553-1.jpg,Rp 600.000
https://www.zalora.co.id/p/nike-offcourt-adjust-slides-brown-4674063,Nike,sandal_and_flip_flop_2,https://dynamic.zacdn.com/uu9KveOABQ5DZGjamkz4y4Rxcyk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-4069-3604764-1.jpg,Rp 609.000
https://www.zalora.co.id/p/nike-calm-blue-4674126,Nike,sandal_and_flip_flop_2,https://dynamic.zacdn.com/D31QPLiMAynq00rkJzT3S8EQOrw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7927-6214764-1.jpg,Rp 1.069.000
https://www.zalora.co.id/p/adidas-superstar-mule-shoes-white-4404002,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/gRrcZVjuPmJFQPKrA2lVhglH61g=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-1679-2004044-1.jpg,Rp 1.200.000
https://www.zalora.co.id/p/adidas-adilette-clogs-green-4493350,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/-I4fzJfRJa4O6lxeD4o9kh3Z6tI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-3651-0533944-1.jpg,Rp 700.000
https://www.zalora.co.id/p/nike-men-s-dri-fit-stride-7-brief-lined-running-shorts-black-4005524,Nike,sandal_and_flip_flop_2,https://dynamic.zacdn.com/Qw_g9FM42vh2h-AC28PinIn-1nY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-9856-4255004-1.jpg,Rp 589.000
https://www.zalora.co.id/p/adidas-adilette-shower-slide-sandals-black-3245333,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/OZrK7i8Jg14ik1_-EPb84HmSk4g=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-7002-3335423-1.jpg,Rp 450.000
https://www.zalora.co.id/p/adidas-adicolor-classics-sst-track-top-blue-4149179,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/lRUN0yh8zWYRcfOIjcKNzr_12Lo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-2422-9719414-1.jpg,Rp 1.500.000
https://www.zalora.co.id/p/adidas-adilette-22-slide-sandals-blue-4404067,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/ZjQ6v2_Vi7U7ud9oqRYiT_7onrM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-9556-7604044-1.jpg,Rp 840.000
https://www.zalora.co.id/p/nike-offcourt-adjust-slides-black-3837350,Nike,sandal_and_flip_flop_2,https://dynamic.zacdn.com/UgZTqF3pDds09AAhrOdChDiZn-k=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-6293-0537383-1.jpg,Rp 609.000
https://www.zalora.co.id/p/nike-air-max-cirro-men-s-slides-grey-4674077,Nike,sandal_and_flip_flop_2,https://dynamic.zacdn.com/pA8K6Mbo8ouxQpf2X_dFj4tSJAQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-3224-7704764-1.jpg,Rp 659.000
https://www.zalora.co.id/p/adidas-adilette-flow-slides-brown-4493133,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/bnNcxD0_QdC1SYD02kmqV7NTt6A=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-8937-3313944-1.jpg,Rp 450.000
https://www.zalora.co.id/p/adidas-adilette-22-slides-grey-3885726,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/Mp_xTkwuVwTvn4lQfJurla6Z_2s=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-1964-6275883-1.jpg,Rp 840.000
https://www.zalora.co.id/p/nike-calm-men-s-sandals-brown-4432854,Nike,sandal_and_flip_flop_2,https://dynamic.zacdn.com/JuVv4zKHgTNcKVTgT0GqNMBl-MQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7824-4582344-1.jpg,Rp 1.199.000
https://www.zalora.co.id/p/adidas-adilette-22-slides-black-4381966,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/goMvPx2cUBWULGYXqx6KIuL2HB8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-0813-6691834-1.jpg,Rp 840.000
https://www.zalora.co.id/p/nike-as-m-dri-fit-stride-shrt-5in-bf-black-3378981,Nike,sandal_and_flip_flop_2,https://dynamic.zacdn.com/6UG62qvXtyqXP-ZZ_JziIy9EbrY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1306-1898733-1.jpg,Rp 589.000
https://www.zalora.co.id/p/adidas-alphabounce-slides-black-3245962,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/Poa738-PoKlJysyh_adWSqxTpZ8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-2180-2695423-1.jpg,Rp 800.000
https://www.zalora.co.id/p/nike-dri-fit-challenger-shorts-black-3837666,Nike,sandal_and_flip_flop_2,https://dynamic.zacdn.com/gp9bJOvngvipSA74lkraO3wgvMA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1744-6667383-1.jpg,Rp 419.000
https://www.zalora.co.id/p/adidas-adilette-comfort-slides-black-3245989,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/uxBqDHFzvLPXfRIFBXmGOwYgeyU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-5767-9895423-1.jpg,Rp 600.000
https://www.zalora.co.id/p/adidas-rifta-metro-aac-shorts-grey-4148847,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/j_NIsVQCsQGe0jwImHUW9OdgZ0g=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-0390-7488414-1.jpg,Rp 1.100.000
https://www.zalora.co.id/p/adidas-train-essentials-3-stripes-training-t-shirt-navy-3887062,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/8dbLbfZ3bTyjh3bpcl1I5SSvEaM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-1956-2607883-1.jpg,Rp 450.000
https://www.zalora.co.id/p/nike-men-s-offcourt-slides-grey-4673798,Nike,sandal_and_flip_flop_2,https://dynamic.zacdn.com/j1OQgzDMYF-ZYGiJ7VBfAKkkAjA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2103-8973764-1.jpg,Rp 529.000
https://www.zalora.co.id/p/adidas-adilette-shower-slides-black-3552186,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/LVECF_QOftdQkyRtVb3-abIcutk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-5845-6812553-1.jpg,Rp 450.000
https://www.zalora.co.id/p/nike-dri-fit-unlimited-woven-unlimited-shorts-black-3837659,Nike,sandal_and_flip_flop_2,https://dynamic.zacdn.com/1j_qY81m-a2-FPvZJ24CZSRBO_w=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-4212-9567383-1.jpg,Rp 619.000
https://www.zalora.co.id/p/adidas-adilette-comfort-slides-black-3246021,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/sPARp0rCFHWYUcMU38Uj-lR8bHw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-9812-1206423-1.jpg,Rp 600.000
https://www.zalora.co.id/p/adidas-adicolor-classics-firebird-tracksuit-bottoms-black-3979239,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/aKa6qxRpz6j7NgimAwLQnrd674o=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-0193-9329793-1.jpg,Rp 1.300.000
https://www.zalora.co.id/p/nike-dri-fit-legend-men-s-sleeveless-fitness-t-shirt-black-4100943,Nike,sandal_and_flip_flop_2,https://dynamic.zacdn.com/-8M9XLGKs8ydG_QUi40UBWIB0rs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1408-3490014-1.jpg,Rp 369.000
https://www.zalora.co.id/p/adidas-techfit-3-stripes-training-t-shirt-black-3552166,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/9rErjtB2eBt0aKy8piJ-VCrW4fA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-7112-6612553-1.jpg,Rp 600.000
https://www.zalora.co.id/p/adidas-adilette-shower-slides-green-4404202,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/yyo7BkKxC7k5_bFqSEhwTmTNMmU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-1714-2024044-1.jpg,Rp 450.000
https://www.zalora.co.id/p/adidas-aeroready-essentials-stanford-open-hem-embroidered-small-logo-tracksuit-bottoms-black-3888591,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/P_Uvgk14y0PQj8yWa_X9AfxnMt4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-3055-1958883-1.jpg,Rp 700.000
https://www.zalora.co.id/p/adidas-future-icons-badge-of-sport-shorts-white-4149142,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/PcUHFcRogXZVXLp2r2thxYVYZC4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-4486-2419414-1.jpg,Rp 700.000
https://www.zalora.co.id/p/adidas-adilette-zplaash-slide-sandals-white-4404061,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/gsAEhp9TlpghkrDJJbg3rOrH_IU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-1062-1604044-1.jpg,Rp 950.000
https://www.zalora.co.id/p/adidas-adilette-aqua-slides-black-2324510,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/wmuzeKf23_S3vvgdOqDTk1Y_6Hg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-2713-0154232-1.jpg,Rp 380.000
https://www.zalora.co.id/p/adidas-adilette-aqua-slide-sandals-black-3978997,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/W-ikalFPXTdepEmMdN8igr-FwNg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-7468-7998793-1.jpg,Rp 380.000
https://www.zalora.co.id/p/adidas-aeroready-essentials-chelsea-3-stripes-shorts-navy-3887400,ADIDAS,sandal_and_flip_flop_2,https://dynamic.zacdn.com/aJHVojaNB4hZPt-B_SXXdTTfgm4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-0624-0047883-1.jpg,Rp 550.000
