link,brand,category,image,price
https://www.zalora.co.id/p/fendi-fendi-feel-ff-baguette-fabric-sandal-slide-black-black-4265772,FENDI,sandals,https://dynamic.zacdn.com/u3JF7Li5YpsONTO3ppmrvGYaaBs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/fendi-5176-2775624-1.jpg,Rp 15.600.000
https://www.zalora.co.id/p/dr-martens-dr-martens-jorge-ii-contrast-hair-on-black-black-4661464,Dr. Martens,sandals,https://dynamic.zacdn.com/WXvJIBBBN10WbZ6jXjb6O1zzy5s=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/dr-martens-9284-4641664-1.jpg,Rp 3.599.000
https://www.zalora.co.id/p/dr-martens-dr-martens-wrenlie-grizzly-leather-fisherman-sandals-black-4717853,Dr. Martens,sandals,https://dynamic.zacdn.com/Pf8e2dZXfzEhASoKMD-BbtYBLmA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/dr-martens-5465-3587174-1.jpg,Rp 3.399.000
https://www.zalora.co.id/p/birkenstock-uji-bfbc-suede-beige-4253465,Birkenstock,sandals,https://dynamic.zacdn.com/6GwGw6xQyvFgtjerPAnpaWvFYCQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/birkenstock-6024-5643524-1.jpg,Rp 2.999.000
https://www.zalora.co.id/p/dr-martens-garin-brando-unisex-sandals-black-black-4219669,Dr. Martens,sandals,https://dynamic.zacdn.com/fMj9wWL-wcttlu_MVnKF8EGdD3Q=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/dr-martens-5146-9669124-1.jpg,Rp 2.999.000
https://www.zalora.co.id/p/dr-martens-dr-martens-isham-desert-oasis-suede-mules-black-4717855,Dr. Martens,sandals,https://dynamic.zacdn.com/JumH-9QRH_cB3b0zPbkGpgR4c78=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/dr-martens-5953-5587174-1.jpg,Rp 2.899.000
https://www.zalora.co.id/p/dr-martens-dr-martens-jorge-ii-warmed-stone-brown-4661466,Dr. Martens,sandals,https://dynamic.zacdn.com/CJdid3jQwtJepRJvWGU7KrwiNjo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/dr-martens-5756-6641664-1.jpg,Rp 2.899.000
https://www.zalora.co.id/p/birkenstock-arizona-sfb-suede-black-1638112,Birkenstock,sandals,https://dynamic.zacdn.com/GwKLLIT2Jl-GTPrQC3WfhWQpoWQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/birkenstock-1107-2118361-1.jpg,Rp 2.799.000
https://www.zalora.co.id/p/birkenstock-medina-nl-brown-4370201,Birkenstock,sandals,https://dynamic.zacdn.com/ZHosG2eC0mZJrImA_9HABoijgUM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/birkenstock-9651-1020734-1.jpg,Rp 2.799.000
https://www.zalora.co.id/p/birkenstock-arizona-sfb-suede-green-2687963,Birkenstock,sandals,https://dynamic.zacdn.com/g6883522k1M70YP3m6iX6t2ckK4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/birkenstock-8409-3697862-1.jpg,Rp 2.799.000
https://www.zalora.co.id/p/birkenstock-arizona-suede-embossed-black-4596110,Birkenstock,sandals,https://dynamic.zacdn.com/k5839yGiKvbYS1kLblp2qNpM5Uo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/birkenstock-0013-0116954-1.jpg,Rp 2.799.000
https://www.zalora.co.id/p/mario-minardi-finno-tan-4474039,Mario Minardi,sandals,https://dynamic.zacdn.com/_ioXW4QUOK5-KEPai_AGigeuWz4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-6024-9304744-1.jpg,Rp 3.250.000
https://www.zalora.co.id/p/mario-minardi-finno-black-4454803,Mario Minardi,sandals,https://dynamic.zacdn.com/pKMELPOQGGo9toRarqPObcxLLEM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-8496-3084544-1.jpg,Rp 3.250.000
https://www.zalora.co.id/p/mario-minardi-finno-brown-brown-4474009,Mario Minardi,sandals,https://dynamic.zacdn.com/ElXey5nOIuogWiDFoQgabuSimVs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-6017-9004744-1.jpg,Rp 3.250.000
https://www.zalora.co.id/p/dr-martens-dr-martens-josef-analine-leather-buckle-slide-sandals-black-4717856,Dr. Martens,sandals,https://dynamic.zacdn.com/TRN9FOad6Em3SqouyG4eDONeaRM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/dr-martens-4577-6587174-1.jpg,Rp 2.699.000
https://www.zalora.co.id/p/birkenstock-arizona-sfb-ol-brown-1558532,Birkenstock,sandals,https://dynamic.zacdn.com/KunbSmzLwel0lcMfJ4osgP8yURY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/birkenstock-6237-2358551-1.jpg,Rp 2.599.000
