link,brand,category,image,price
https://www.zalora.co.id/p/adidas-pureboost-5-running-shoes-purple-4493122,ADIDAS,sepatu_olahraga,https://dynamic.zacdn.com/HS_cpjhVhn3hhRT_OZ6XG3laSHY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-1731-2213944-1.jpg,Rp 2.100.000
https://www.zalora.co.id/p/nike-killshot-2-shoes-black-4674110,Nike,sepatu_olahraga,https://dynamic.zacdn.com/-Uesa3wqwiFxvMr2ZHexAkf3cj0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7381-0114764-1.jpg,Rp 1.499.000
https://www.zalora.co.id/p/nike-initiator-sneakers-white-4473055,Nike,sepatu_olahraga,https://dynamic.zacdn.com/ipDh3RHSVStPqaeiVlx_U_elj4M=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-4098-5503744-1.jpg,Rp 1.299.000
https://www.zalora.co.id/p/nike-winflo-11-men-s-road-running-shoes-white-4673863,Nike,sepatu_olahraga,https://dynamic.zacdn.com/WeDKQKbM9rg20yLRJ4IGAq7aufw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7316-3683764-1.jpg,Rp 1.549.000
https://www.zalora.co.id/p/nike-revolution-7-men-s-road-running-shoes-black-4230050,Nike,sepatu_olahraga,https://dynamic.zacdn.com/TeYsECtyKB5cwSV18z4lkNoTshI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-8806-0500324-1.jpg,Rp 809.000
https://www.zalora.co.id/p/adidas-superstar-xlg-shoes-white-4404135,ADIDAS,sepatu_olahraga,https://dynamic.zacdn.com/a_YYv-SoIin4SAfjJ3psoDuwr_c=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-8513-5314044-1.jpg,Rp 2.000.000
https://www.zalora.co.id/p/nike-pegasus-41-running-shoes-black-4674011,Nike,sepatu_olahraga,https://dynamic.zacdn.com/Tm1PGd8x2l2tsaxhcRUUAqer36Y=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2849-1104764-1.jpg,Rp 2.099.000
https://www.zalora.co.id/p/nike-motiva-shoes-green-4673871,Nike,sepatu_olahraga,https://dynamic.zacdn.com/_k3Tfd__dnLNfZTtD71TqmVWXx4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7423-1783764-1.jpg,Rp 1.729.000
https://www.zalora.co.id/p/nike-big-nike-low-shoes-white-4673794,Nike,sepatu_olahraga,https://dynamic.zacdn.com/bfq9FQrAM6QEB42LFTXSxqiHFZ0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7412-4973764-1.jpg,Rp 1.299.000
https://www.zalora.co.id/p/nike-winflo-11-running-shoes-black-4674066,Nike,sepatu_olahraga,https://dynamic.zacdn.com/79fJvSP96xyYuBoA2-60BxUSF0Y=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0846-6604764-1.jpg,Rp 1.549.000
https://www.zalora.co.id/p/adidas-alphacomfy-shoes-black-4673707,ADIDAS,sepatu_olahraga,https://dynamic.zacdn.com/j1ZH4_HDWHs06-t1wFbfcN9kV5k=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-3268-7073764-1.jpg,Rp 950.000
https://www.zalora.co.id/p/nike-air-monarch-iv-men-s-training-shoes-white-2761984,Nike,sepatu_olahraga,https://dynamic.zacdn.com/urYYC_tyX9NTq2OKjV_8MkLh_MM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-3796-4891672-1.jpg,Rp 749.000
https://www.zalora.co.id/p/adidas-duramo-speed-shoes-black-4494124,ADIDAS,sepatu_olahraga,https://dynamic.zacdn.com/V0YIxlOW9fQTAXOQ9uhhOF8BEuI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-5223-4214944-1.jpg,Rp 1.400.000
https://www.zalora.co.id/p/nike-pegasus-41-gore-tex-shoes-black-4674116,Nike,sepatu_olahraga,https://dynamic.zacdn.com/Aw8VtB4RrlkyNIXFVj63jmRotJc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-8076-6114764-1.jpg,Rp 2.489.000
https://www.zalora.co.id/p/adidas-sl-72-rtn-shoes-white-4493349,ADIDAS,sepatu_olahraga,https://dynamic.zacdn.com/KtAm9TqOL061x3FC-S2cIbzlMAM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-7546-9433944-1.jpg,Rp 1.800.000
https://www.zalora.co.id/p/nike-court-borough-low-recraft-shoes-white-4472769,Nike,sepatu_olahraga,https://dynamic.zacdn.com/ksdRZ1RUDQBjmIqhMqV479WBUHE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7649-9672744-1.jpg,Rp 799.000
https://www.zalora.co.id/p/nike-winflo-11-shoes-black-4432541,Nike,sepatu_olahraga,https://dynamic.zacdn.com/0relfZW76sG0bXWG73fHnKTYdKo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-8862-1452344-1.jpg,Rp 1.549.000
https://www.zalora.co.id/p/adidas-alphaboost-v1-shoes-green-4148600,ADIDAS,sepatu_olahraga,https://dynamic.zacdn.com/gt29de9wK5XzYGjC5QP3S9YpY3I=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-2407-0068414-1.jpg,Rp 2.090.000
https://www.zalora.co.id/p/adidas-pureboost-22-running-shoes-black-3558321,ADIDAS,sepatu_olahraga,https://dynamic.zacdn.com/w8iy2jkNfbRHBqF0QxNvRRgOleQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-0527-1238553-1.jpg,Rp 2.010.000
https://www.zalora.co.id/p/nike-blazer-low-77-vintage-basketball-shoes-white-4472927,Nike,sepatu_olahraga,https://dynamic.zacdn.com/wMVtAI_vRtREn6xi793SWDVCZDE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-6047-7292744-1.jpg,Rp 1.199.000
https://www.zalora.co.id/p/adidas-runfalcon-5-wide-running-shoes-black-4493376,ADIDAS,sepatu_olahraga,https://dynamic.zacdn.com/5-DIc4nW98wATloGgllqfN-ergI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-4490-6733944-1.jpg,Rp 850.000
https://www.zalora.co.id/p/nike-run-swift-3-shoes-black-4473168,Nike,sepatu_olahraga,https://dynamic.zacdn.com/iZT8sYabs660q57RKwWXLxDoT6I=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-2456-8613744-1.jpg,Rp 2.129.000
https://www.zalora.co.id/p/nike-flex-runner-3-se-older-kids-shoes-black-4674305,Nike,sepatu_olahraga,https://dynamic.zacdn.com/yEs1Z8BH2voPjpIvRJBxvOvKcfI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1284-5034764-1.jpg,Rp 729.000
https://www.zalora.co.id/p/adidas-superstar-xlg-shoes-black-4404259,ADIDAS,sepatu_olahraga,https://dynamic.zacdn.com/4xLyyNBq-9a68KsEP6uFLA51mdU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-2832-9524044-1.jpg,Rp 2.080.000
https://www.zalora.co.id/p/adidas-avryn-shoes-grey-4381981,ADIDAS,sepatu_olahraga,https://dynamic.zacdn.com/GiUfMb0nrkcL2rscIq9hLh--MzU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-9864-1891834-1.jpg,Rp 2.200.000
https://www.zalora.co.id/p/adidas-forum-mod-low-shoes-white-4404000,ADIDAS,sepatu_olahraga,https://dynamic.zacdn.com/va_iGz7CHhAekipJQHJRjqSbAc8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-8069-0004044-1.jpg,Rp 1.800.000
https://www.zalora.co.id/p/nike-infinityrn-4-running-shoes-black-4432433,Nike,sepatu_olahraga,https://dynamic.zacdn.com/JMMAKdEYdUbcEFgyCS9K6hKQFUY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-6184-3342344-1.jpg,Rp 2.489.000
