link,brand,category,image,price
https://www.zalora.co.id/p/obermain-alvis-kentivin-black-4703826,Obermain,slip_on_&_espadrilles,https://dynamic.zacdn.com/734dZar27giJCFhCZVuT_5qCIGk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/obermain-0779-6283074-1.jpg,Rp 2.399.000
https://www.zalora.co.id/p/adidas-stan-smith-cs-slip-on-shoes-black-4404075,ADIDAS,slip_on_&_espadrilles,https://dynamic.zacdn.com/f6KXtB82-X6IBC26morU5nY2zI4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-9225-5704044-1.jpg,Rp 1.300.000
https://www.zalora.co.id/p/obermain-gelen-harris-black-4604483,Obermain,slip_on_&_espadrilles,https://dynamic.zacdn.com/Ar0i4DxAwFRnVTGSHvk4KoJfaPo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/obermain-7434-3844064-1.jpg,Rp 2.399.000
https://www.zalora.co.id/p/hush-puppies-advance-wthr-slipon-black-4703778,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/hZqAKS15gVzx40wAllS6vp_w27g=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-8373-8773074-1.jpg,Rp 2.199.000
https://www.zalora.co.id/p/hush-puppies-atwood-slip-on-black-4714854,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/IitkIgiiMIHNejIojdM24kLGpyg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-0135-4584174-1.jpg,Rp 1.599.000
https://www.zalora.co.id/p/hush-puppies-hubert-loafer-black-4677437,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/I81VfkdB3j0064QPoVgwTqOF9WI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-8766-7347764-1.jpg,Rp 1.999.000
https://www.zalora.co.id/p/hush-puppies-elevate-knit-slip-blue-4633753,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/j7KskaWiSsl7jhBSRJo6sAv3Wko=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-5987-3573364-1.jpg,Rp 1.599.000
https://www.zalora.co.id/p/hush-puppies-jettro-slip-on-black-4441103,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/yS_TNlLjA-pxw4rc6G_XC_ACx98=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-2970-3011444-1.jpg,Rp 1.599.000
https://www.zalora.co.id/p/obermain-burnie-efryn-black-4317452,Obermain,slip_on_&_espadrilles,https://dynamic.zacdn.com/S_uqN6NkOcYOM6syhsVzZsxyltY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/obermain-2784-2547134-1.jpg,Rp 2.299.000
https://www.zalora.co.id/p/hush-puppies-oswald-slip-on-black-4416241,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/QYQNDnz2Kq9g-FWy_F9bcex_7_8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-3122-1426144-1.jpg,Rp 2.599.000
https://www.zalora.co.id/p/hush-puppies-morgen-buckle-loafer-black-4441088,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/AbQWUr5Gp1Qi6NO4HsTiiF3g2jQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-1760-8801444-1.jpg,Rp 1.999.000
https://www.zalora.co.id/p/hush-puppies-elevate-knit-lace-grey-4633757,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/rjuuoUBqtjAVbHR2s2k77sC7Ppo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-6328-7573364-1.jpg,Rp 1.599.000
https://www.zalora.co.id/p/hush-puppies-elevate-knit-lace-black-4633758,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/x2up4WWdcHsGl0_l0VjP1j7eZiw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-4798-8573364-1.jpg,Rp 1.599.000
https://www.zalora.co.id/p/hush-puppies-braxton-nashville-zipper-grey-3932804,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/twtva5k7J01pn1MkHFo4_pR2d74=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-2581-4082393-1.jpg,Rp 1.099.000
https://www.zalora.co.id/p/obermain-benjamin-aden-black-4317457,Obermain,slip_on_&_espadrilles,https://dynamic.zacdn.com/uWfStjMRqnrgPqjrDed3zZUhyfc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/obermain-4790-7547134-1.jpg,Rp 1.999.000
https://www.zalora.co.id/p/hush-puppies-bennet-pt-slip-on-black-4015518,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/3qgs0jdvTm4NbgJHu9iv6H678hY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-7835-8155104-1.jpg,Rp 2.599.000
https://www.zalora.co.id/p/hush-puppies-braxton-nashville-velcro-grey-3932801,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/T_BQwB6HysVto0IdN0EQMRu3klo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-2075-1082393-1.jpg,Rp 1.099.000
https://www.zalora.co.id/p/adidas-adifom-superstar-shoes-black-4148438,ADIDAS,slip_on_&_espadrilles,https://dynamic.zacdn.com/ksZQ_dhB8u5ZZ8iPeQBOaG_Y6YE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-0656-8348414-1.jpg,Rp 1.200.000
https://www.zalora.co.id/p/hush-puppies-briggs-pt-slipon-multi-3736993,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/Yw8yU5MWvksPjMc1qDrB82WOo5o=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-8387-3996373-1.jpg,Rp 1.999.000
https://www.zalora.co.id/p/obermain-beldon-divon-brown-4343839,Obermain,slip_on_&_espadrilles,https://dynamic.zacdn.com/5WQN_ixbEuOgKxUhCcoHXkqWtE4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/obermain-1203-9383434-1.jpg,Rp 2.299.000
https://www.zalora.co.id/p/hush-puppies-briggs-pt-slipon-black-3736995,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/F-wTfXOFE3uEdFn_lW6sgW0O29s=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-7018-5996373-1.jpg,Rp 1.999.000
https://www.zalora.co.id/p/obermain-curtis-amon-black-4466987,Obermain,slip_on_&_espadrilles,https://dynamic.zacdn.com/NgkC0FamwfZ-AKGGJ1daDlhVSL8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/obermain-2775-7896644-1.jpg,Rp 2.199.000
https://www.zalora.co.id/p/hush-puppies-toby-hallen-loafer-multi-4143302,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/tTA7K2IDJ29U1dIi-M4SlOFcCa4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-2458-2033414-1.jpg,Rp 1.999.000
https://www.zalora.co.id/p/obermain-colin-jovix-navy-4361456,Obermain,slip_on_&_espadrilles,https://dynamic.zacdn.com/2yeKxqkbe9QS3wvaycrkQU_I_xc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/obermain-5093-6541634-1.jpg,Rp 2.199.000
https://www.zalora.co.id/p/adidas-stan-smith-cs-slip-on-shoes-white-4404140,ADIDAS,slip_on_&_espadrilles,https://dynamic.zacdn.com/-Fd6qlfi2rFS9oqOJyyiXpATAfc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-9227-0414044-1.jpg,Rp 1.300.000
https://www.zalora.co.id/p/hush-puppies-kovic-vatro-mules-green-4100097,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/QW3RAxfahzGKiMsboW-obCV2zbs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-7676-7900014-1.jpg,Rp 1.999.000
https://www.zalora.co.id/p/vans-ua-classic-slip-on-multi-4484635,VANS,slip_on_&_espadrilles,https://dynamic.zacdn.com/vIUs26j0PFxnipnKppzMrczk9nw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/vans-3509-5364844-1.jpg,Rp 899.000
https://www.zalora.co.id/p/obermain-curtin-ajin-black-4466989,Obermain,slip_on_&_espadrilles,https://dynamic.zacdn.com/zIvzJrJH60AhBgU4wXhlDZuzUUY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/obermain-1115-9896644-1.jpg,Rp 2.199.000
https://www.zalora.co.id/p/hush-puppies-jenson-slip-black-4720008,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/vtzGDyFpvDjSQkWZlQqT3mj-9Uc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-8626-8000274-1.jpg,Rp 1.999.000
https://www.zalora.co.id/p/obermain-casper-bevon-black-3796582,Obermain,slip_on_&_espadrilles,https://dynamic.zacdn.com/bT8PPktklg0ysX9PkcRNVwRb4kM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/obermain-9232-2856973-1.jpg,Rp 1.999.000
https://www.zalora.co.id/p/hush-puppies-elevate-wthr-slipon-black-4703776,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/WcYb4sKvapyn6COn4fyaXrg9oE4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-7882-6773074-1.jpg,Rp 1.999.000
https://www.zalora.co.id/p/hush-puppies-atwood-slip-on-grey-4714849,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/PZhKtRzKRf9gSYSXZRPBwIJ_UFw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-0805-9484174-1.jpg,Rp 1.599.000
https://www.zalora.co.id/p/hush-puppies-oswald-slip-on-grey-4416211,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/Z4g3qJKkKQVLtn2g5W79KJ9OIWE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-6003-1126144-1.jpg,Rp 2.599.000
https://www.zalora.co.id/p/hush-puppies-advance-wthr-slipon-brown-4703773,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/-XzI_g3UVqfOSN9gWh3UiBk2nL8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-7829-3773074-1.jpg,Rp 2.199.000
https://www.zalora.co.id/p/hush-puppies-lokka-hummer-slip-on-brown-4703793,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/e9hZ7S7MHIWgKPZA1Gc94pohD1Y=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-7834-3973074-1.jpg,Rp 2.399.000
https://www.zalora.co.id/p/hush-puppies-transit-ii-slip-on-brown-3593589,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/8BWyQ4NyzyWxCkxS68wiDKft_ic=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-2168-9853953-1.jpg,Rp 2.199.000
https://www.zalora.co.id/p/hush-puppies-toby-hallen-loafer-navy-4143306,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/xdX-VMD1zk0pnjmgkYh4fRO3RtM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-2881-6033414-1.jpg,Rp 1.999.000
https://www.zalora.co.id/p/hush-puppies-elevate-knit-slip-multi-4633761,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/QaFdmT83jA0Ipx53dRU4vUmNb5o=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-4803-1673364-1.jpg,Rp 1.599.000
https://www.zalora.co.id/p/hush-puppies-jettro-slip-on-brown-4441093,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/Zy3ilcb_SQ2l5BFbZp0n1Ig8oYw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-1457-3901444-1.jpg,Rp 1.599.000
https://www.zalora.co.id/p/hush-puppies-toby-hallen-saddle-multi-4143303,Hush Puppies,slip_on_&_espadrilles,https://dynamic.zacdn.com/EKV0hD4p5ukkbIkY-_L1BwPL5oo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-3272-3033414-1.jpg,Rp 1.999.000
