link,brand,category,image,price
https://www.zalora.co.id/p/valentino-ms-2960-low-top-sneakers-tr-multi-4497055,Valentino,sneakers,https://dynamic.zacdn.com/doSOKOAH1n2WrmwGndWD0F3kimQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-2216-5507944-1.jpg,Rp 23.629.000
https://www.zalora.co.id/p/balenciaga-balenciaga-x-adidas-triple-s-sneakers-tr-multi-4497076,BALENCIAGA,sneakers,https://dynamic.zacdn.com/K2VdHUkDdJF9dVQBpHeIveR67lc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/balenciaga-2213-6707944-1.jpg,Rp 24.729.000
https://www.zalora.co.id/p/balenciaga-balenciaga-x-adidas-triple-s-sneakers-tr-multi-4497065,BALENCIAGA,sneakers,https://dynamic.zacdn.com/fHt-AK96hxECGbb_nEUjEeXsXNU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/balenciaga-2203-5607944-1.jpg,Rp 24.729.000
https://www.zalora.co.id/p/christian-dior-christian-dior-b27-low-top-sneakers-galaxy-oblique-jacquard-calfskin-and-suede-black-black-4254960,Christian Dior,sneakers,https://dynamic.zacdn.com/BHYd7p4rarGUjYDalDFJCs3-ruc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-dior-4272-0694524-1.jpg,Rp 29.610.000
https://www.zalora.co.id/p/christian-dior-christian-dior-b27-low-top-sneaker-oblique-jacquard-black-black-3816618,Christian Dior,sneakers,https://dynamic.zacdn.com/1zdFWo0DwON7w0FxuVXmMC_-t84=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-dior-2764-8166183-1.jpg,Rp 28.950.000
https://www.zalora.co.id/p/christian-dior-christian-dior-b27-low-top-sneakers-diamond-canvas-and-calfskin-grey-grey-3900574,Christian Dior,sneakers,https://dynamic.zacdn.com/mK74JW1ZJI-iKQqLhcXhb6wBa4o=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-dior-3248-4750093-1.jpg,Rp 29.930.000
https://www.zalora.co.id/p/valentino-one-stud-low-top-sneakers-ik-white-4697218,Valentino,sneakers,https://dynamic.zacdn.com/vQCFJGJz1yfd8VjG-4GI04CX50U=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-9620-8127964-1.jpg,Rp 21.319.000
https://www.zalora.co.id/p/valentino-vl7n-low-top-sneakers-ik-white-4697246,Valentino,sneakers,https://dynamic.zacdn.com/Tv_1o93UB1FyZMZm2uRLBghdmhY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0907-6427964-1.jpg,Rp 21.319.000
https://www.zalora.co.id/p/christian-dior-christian-dior-b27-low-top-sneaker-oblique-galaxy-white-white-4093776,Christian Dior,sneakers,https://dynamic.zacdn.com/TbNjCwYY-MrtRh8HtpzD_Zly024=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-dior-3954-6773904-1.jpg,Rp 30.680.000
https://www.zalora.co.id/p/gucci-gucci-men-s-screener-sneakers-beige-4315369,Gucci,sneakers,https://dynamic.zacdn.com/e1TjJsGq3bumMiVJxk1DEXsTJ1I=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/gucci-1864-9635134-1.jpg,Rp 17.850.000
https://www.zalora.co.id/p/valentino-v-logo-pace-low-top-sneakers-tr-multi-4363458,Valentino,sneakers,https://dynamic.zacdn.com/KUxXDVrbxDsR4WE3AC3ZwIDJggc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0433-8543634-1.jpg,Rp 17.329.000
https://www.zalora.co.id/p/saint-laurent-sl-80-lace-up-sneakers-tr-white-4497050,SAINT LAURENT,sneakers,https://dynamic.zacdn.com/xmGijLbYiPVTD9EAvt7lEh9c0QE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/saint-laurent-2198-0507944-1.jpg,Rp 18.849.000
https://www.zalora.co.id/p/valentino-rockrunner-camouflage-sneakers-ik-multi-4697242,Valentino,sneakers,https://dynamic.zacdn.com/BesYGC9hlyXBSvTUUG7gOP1_PLU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-8049-2427964-1.jpg,Rp 18.579.000
https://www.zalora.co.id/p/valentino-rockrunner-camouflage-sneakers-ik-black-4697239,Valentino,sneakers,https://dynamic.zacdn.com/nprIFq-slC9DnAsamGA-Yepzca0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-8065-9327964-1.jpg,Rp 18.579.000
https://www.zalora.co.id/p/valentino-rockrunner-camouflage-metallic-sneakers-ik-black-4697240,Valentino,sneakers,https://dynamic.zacdn.com/wq0NK82ILiKEkZYHNwYJ9DtMQns=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-8029-0427964-1.jpg,Rp 18.579.000
https://www.zalora.co.id/p/balenciaga-balenciaga-x-adidas-speed-trainers-tr-black-4497073,BALENCIAGA,sneakers,https://dynamic.zacdn.com/ITerqgxHltplJBUnuJwr-5GeO5I=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/balenciaga-2209-3707944-1.jpg,Rp 19.779.000
https://www.zalora.co.id/p/valentino-stud-around-lace-up-sneakers-tr-white-4497071,Valentino,sneakers,https://dynamic.zacdn.com/2RwKNLsqaAeiBBKcfZ0QGIJWKoU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-2212-1707944-1.jpg,Rp 17.169.000
