link,brand,category,image,price
https://www.zalora.co.id/p/nike-promina-black-4673829,Nike,sneakers_2,https://dynamic.zacdn.com/W_Lw0Tun5StVtWPMPvFjBaxYRN4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-3832-9283764-1.jpg,Rp 889.000
https://www.zalora.co.id/p/adidas-ultraboost-5-green-4493380,ADIDAS,sneakers_2,https://dynamic.zacdn.com/3G3GEnODbTdYcSOrwxiybYdzSyI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-7824-0833944-1.jpg,Rp 3.000.000
https://www.zalora.co.id/p/converse-chuck-taylor-70-s-ox-sneakers-white-1609386,Converse,sneakers_2,https://dynamic.zacdn.com/6e0uoXklYRIIdY9COg7Vu5UT3Mk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-4036-6839061-1.jpg,Rp 1.199.000
https://www.zalora.co.id/p/converse-chuck-taylor-all-star-canvas-shoes-hi-black-2346613,Converse,sneakers_2,https://dynamic.zacdn.com/VIzrpTo0JFoaiNnYw_tBMZrLxF4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-3600-3166432-1.jpg,Rp 899.000
https://www.zalora.co.id/p/converse-chuck-taylor-all-star-canvas-shoes-ox-black-2346612,Converse,sneakers_2,https://dynamic.zacdn.com/hhL1PjZ38eO-O28Sft3zItk21BA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-3945-2166432-1.jpg,Rp 859.000
https://www.zalora.co.id/p/converse-chuck-taylor-70-s-hi-sneakers-black-1609387,Converse,sneakers_2,https://dynamic.zacdn.com/GRrvEDDSpQEs36uRx-__SRfMQTU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-3528-7839061-1.jpg,Rp 1.299.000
https://www.zalora.co.id/p/converse-chuck-taylor-all-star-canvas-shoes-ox-white-2040549,Converse,sneakers_2,https://dynamic.zacdn.com/DeMwXLj5z0Mf4-3Hq1iKMVzRWeU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-9987-9450402-1.jpg,Rp 859.000
https://www.zalora.co.id/p/converse-chuck-taylor-all-star-canvas-shoes-hi-black-2352675,Converse,sneakers_2,https://dynamic.zacdn.com/DNqOuSUJzt9dxMcA9U2kQXsX5WU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-0776-5762532-1.jpg,Rp 899.000
https://www.zalora.co.id/p/converse-chuck-taylor-all-star-canvas-shoes-hi-navy-2528274,Converse,sneakers_2,https://dynamic.zacdn.com/0KnnYcfwBCvPyvGrETM2rtHFsE8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-9927-4728252-1.jpg,Rp 899.000
https://www.zalora.co.id/p/converse-chuck-taylor-all-star-canvas-shoes-ox-black-2346611,Converse,sneakers_2,https://dynamic.zacdn.com/E4DJ2ImeOHmSbDD2Q-zMu-jEsmU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-3660-1166432-1.jpg,Rp 859.000
