link,brand,category,image,price
https://www.zalora.co.id/p/michael-kors-michael-kors-carmen-leather-ankle-boot-black-4291310,MICHAEL KORS,boots,https://dynamic.zacdn.com/tEtyPKCqiXbU2QzGh0dweLkDgAM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-4856-0131924-1.jpg,Rp 6.975.000
https://www.zalora.co.id/p/linea-4ccccees-plita-cella-boots-ivory-white-4635044,Linea,boots,https://dynamic.zacdn.com/tEYE9Zyknw4YxsVwoTyDNpW7ZC8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-9404-4405364-1.jpg,Rp 6.999.000
https://www.zalora.co.id/p/linea-camper-bcn-women-s-boots-brown-brown-4740065,Linea,boots,https://dynamic.zacdn.com/l3yYgYu9DQiohD9K0K07lwokODo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-5672-5600474-1.jpg,Rp 5.599.000
https://www.zalora.co.id/p/linea-camper-bcn-women-s-boots-black-black-4740093,Linea,boots,https://dynamic.zacdn.com/WfukrfY9eBF24UcedWDH2ZF74gs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-5694-3900474-1.jpg,Rp 5.399.000
https://www.zalora.co.id/p/linea-camper-bcn-tencel-women-s-boots-black-black-4740084,Linea,boots,https://dynamic.zacdn.com/LlrFslGLUjh9eJQ_2pgWLIuK_-8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-5677-4800474-1.jpg,Rp 5.399.000
https://www.zalora.co.id/p/michael-kors-michael-kors-carmen-logo-wedge-sandal-vanilla-4522333,MICHAEL KORS,boots,https://dynamic.zacdn.com/I56DSALynfazk2_zY_fbLw8eXDQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-2483-3332254-1.jpg,Rp 4.650.000
https://www.zalora.co.id/p/linea-camper-twins-women-s-boots-purple-purple-4740078,Linea,boots,https://dynamic.zacdn.com/0ClGin8vI6k94sFVhwrlxG3O9Eg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-5675-8700474-1.jpg,Rp 4.999.000
https://www.zalora.co.id/p/linea-camper-onda-women-s-boots-white-white-4740076,Linea,boots,https://dynamic.zacdn.com/cmrnp2cvZgYJjYz16T1SmnQ4Om8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-5654-6700474-1.jpg,Rp 4.599.000
https://www.zalora.co.id/p/linea-camper-onda-women-s-boots-black-black-4740098,Linea,boots,https://dynamic.zacdn.com/bLVTi4ArDc-NXZ2y7By33WvEq78=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-5687-8900474-1.jpg,Rp 4.599.000
https://www.zalora.co.id/p/linea-bibi-lou-boots-553t12vk-black-black-4740735,Linea,boots,https://dynamic.zacdn.com/ML6B6CwEAIOR35WbwvQ_7jPWOpM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-9506-5370474-1.jpg,Rp 3.999.000
https://www.zalora.co.id/p/linea-bibi-lou-boots-553t12vk-brown-brown-4740728,Linea,boots,https://dynamic.zacdn.com/O4nPMA7O_aP88g3ZqzC0sszQ224=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-9415-8270474-1.jpg,Rp 3.999.000
https://www.zalora.co.id/p/rag-co-zebra-print-ankle-boots-black-2887825,Rag & CO.,boots,https://dynamic.zacdn.com/tXBTjPDdtINzsdvhiBVr6bIJH4s=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/rag-co-7615-5287882-1.jpg,Rp 5.290.733
https://www.zalora.co.id/p/linea-camper-kiara-women-s-boots-black-black-4740102,Linea,boots,https://dynamic.zacdn.com/Nj04qku5UitfcRsZyaxHEBMP83k=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-5693-2010474-1.jpg,Rp 4.399.000
https://www.zalora.co.id/p/linea-camper-billie-women-s-boots-black-black-4740096,Linea,boots,https://dynamic.zacdn.com/2C6W4VLQSXNTSWdJsFOYKfSOU1E=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-5691-6900474-1.jpg,Rp 4.399.000
https://www.zalora.co.id/p/dr-martens-womens-neoteric-audrick-3i-boots-black-nappa-lux-black-black-4219640,Dr. Martens,boots,https://dynamic.zacdn.com/4iCzOhcdFUL8bD5FaIlDTccXdUE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/dr-martens-6347-0469124-1.jpg,Rp 3.999.000
https://www.zalora.co.id/p/mario-minardi-sienna-black-4771098,Mario Minardi,boots,https://dynamic.zacdn.com/0F8AzOqz5sBqGl-OMLBlJDJshaI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mario-minardi-8494-8901774-1.jpg,Rp 3.750.000
https://www.zalora.co.id/p/mango-leather-boots-with-decorative-buckle-brown-4713577,Mango,boots,https://dynamic.zacdn.com/NJ3gubjcRhXcfu0Rf-U2zOTlDrA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mango-2884-7753174-1.jpg,Rp 3.699.900
https://www.zalora.co.id/p/michael-kors-michael-kors-trudy-leather-and-logo-boot-brown-4291308,MICHAEL KORS,boots,https://dynamic.zacdn.com/a2U-triPchhY91a7CLH7YRGOo-E=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-8431-8031924-1.jpg,Rp 5.750.000
https://www.zalora.co.id/p/dr-martens-audrick-loafer-women-s-boots-nappa-black-black-4219679,Dr. Martens,boots,https://dynamic.zacdn.com/Fkwt4t8YeVtsBK4YvZv1_zA3Xn4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/dr-martens-6370-9769124-1.jpg,Rp 3.599.000
https://www.zalora.co.id/p/clarks-clarks-linoso-top-black-leather-black-4693712,Clarks,boots,https://dynamic.zacdn.com/aUSq423VLSJDdt5o-0IF5y5f3xQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/clarks-7011-2173964-1.jpg,Rp 3.799.000
