link,brand,category,image,price
https://www.zalora.co.id/p/tory-burch-cap-toe-ballet-flats-nt-pink-4681485,TORY BURCH,flats,https://dynamic.zacdn.com/OLxRdNI_u-rB6v5qcGwIirk8Qk0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1940-5841864-1.jpg,Rp 7.209.000
https://www.zalora.co.id/p/tods-tod-s-front-tie-hammered-leather-gommino-driving-shoes-white-white-3959569,Tods,flats,https://dynamic.zacdn.com/XgdJx6yucapkBbXvtbVc8ZhadiQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tods-5095-9659593-1.jpg,Rp 9.480.000
https://www.zalora.co.id/p/tory-burch-georgia-ballet-flats-nt-white-4681437,TORY BURCH,flats,https://dynamic.zacdn.com/EkXDL6nC3ECyMcIBF6AKe9iGrRA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1896-7341864-1.jpg,Rp 7.389.000
https://www.zalora.co.id/p/tods-tod-s-chain-line-metal-buckle-leather-kate-gommino-driving-shoes-white-white-3930480,Tods,flats,https://dynamic.zacdn.com/ida9bpp4C8-R3IiOXYJc9-g7qP0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tods-8277-0840393-1.jpg,Rp 10.520.000
https://www.zalora.co.id/p/tory-burch-minnie-travel-ballet-flats-nt-beige-4681475,TORY BURCH,flats,https://dynamic.zacdn.com/MGEXdcVsrDcU2Jwkel3LRZhTCOk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1933-5741864-1.jpg,Rp 7.389.000
https://www.zalora.co.id/p/tory-burch-minnie-travel-ballet-flats-nt-brown-4681515,TORY BURCH,flats,https://dynamic.zacdn.com/KP7krNOwWf9uqMgFsWLj0pqTVXk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1966-5151864-1.jpg,Rp 7.389.000
https://www.zalora.co.id/p/tory-burch-minnie-travel-ballet-flats-nt-blue-4681452,TORY BURCH,flats,https://dynamic.zacdn.com/A8AZPySy_YSsj9pW0fAfFvDJmF4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1909-2541864-1.jpg,Rp 7.389.000
https://www.zalora.co.id/p/tory-burch-claire-ballet-flats-nt-black-4491172,TORY BURCH,flats,https://dynamic.zacdn.com/T6NicDdPbsB8W9t7UNcPMAJphzI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-8420-2711944-1.jpg,Rp 6.919.000
https://www.zalora.co.id/p/tory-burch-cap-toe-quilted-ballet-flat-nt-black-white-4491102,TORY BURCH,flats,https://dynamic.zacdn.com/6Tebg-eCDj9MYq0QuhedlrATCUg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-6589-2011944-1.jpg,Rp 7.209.000
https://www.zalora.co.id/p/tory-burch-embellished-espadrilles-bb-brown-4593981,TORY BURCH,flats,https://dynamic.zacdn.com/uhUi6cG5Unm3e8RIx5dPaJPVJCo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2862-1893954-1.jpg,Rp 8.069.000
https://www.zalora.co.id/p/tory-burch-chelsea-ballet-flats-nt-black-4612745,TORY BURCH,flats,https://dynamic.zacdn.com/Rp9zC8xMRyXymRNtj7EkbjAIfcY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-7637-5472164-1.jpg,Rp 7.039.000
https://www.zalora.co.id/p/kate-spade-buckle-up-flats-nt-gold-4713777,Kate Spade,flats,https://dynamic.zacdn.com/pLNDQXSOfQypuQ7xzyU8Otdw570=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kate-spade-8452-7773174-1.jpg,Rp 5.869.000
https://www.zalora.co.id/p/tory-burch-georgia-ballet-flat-bb-black-4593979,TORY BURCH,flats,https://dynamic.zacdn.com/zoGiYxfNSy76eUSr9JSZ1NJIUj8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2816-9793954-1.jpg,Rp 7.499.000
https://www.zalora.co.id/p/kate-spade-veronica-ballet-flats-nt-white-4713724,Kate Spade,flats,https://dynamic.zacdn.com/5GBZoGqkUt4uJieydOGg-X68O-g=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kate-spade-8449-4273174-1.jpg,Rp 4.609.000
https://www.zalora.co.id/p/linea-bibi-lou-loafers-671z32vk-multi-multi-4740743,Linea,flats,https://dynamic.zacdn.com/G05zfK1G6Yh_6VGgG9j8UeGp2w4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-1519-3470474-1.jpg,Rp 3.599.000
https://www.zalora.co.id/p/michael-kors-eden-hand-woven-leather-loafer-brown-4618553,MICHAEL KORS,flats,https://dynamic.zacdn.com/5RSAeao3L8aX8l1wesiqABfMdwg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-0230-3558164-1.jpg,Rp 3.939.000
https://www.zalora.co.id/p/michael-kors-eden-hand-woven-leather-loafer-white-4618551,MICHAEL KORS,flats,https://dynamic.zacdn.com/CvvAJ1reQQ7pb509kZxmsSJpd1A=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-0192-1558164-1.jpg,Rp 3.939.000
https://www.zalora.co.id/p/michael-kors-eden-hand-woven-leather-loafer-black-4618552,MICHAEL KORS,flats,https://dynamic.zacdn.com/sL9vAg0f4hyTq2kjtjK7YFmIr9E=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-0166-2558164-1.jpg,Rp 3.939.000
