link,brand,category,image,price
https://www.zalora.co.id/p/valentino-roman-stud-slingback-pumps-tr-black-4363491,Valentino,heels,https://dynamic.zacdn.com/ktdbl_JJvA3TQHbWcNWPrAPE5_8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0461-1943634-1.jpg,Rp 27.449.000
https://www.zalora.co.id/p/loewe-nail-polish-heel-mules-tr-black-4497054,Loewe,heels,https://dynamic.zacdn.com/HymFuAhcic62JHmFETHxyDgr89A=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/loewe-2207-4507944-1.jpg,Rp 24.379.000
https://www.zalora.co.id/p/loewe-leather-drop-heel-mules-tr-white-4497068,Loewe,heels,https://dynamic.zacdn.com/kXKQaNWmGqRIazmyMSxGmCCphE4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/loewe-2192-8607944-1.jpg,Rp 24.379.000
https://www.zalora.co.id/p/manolo-blahnik-bambimu-satin-jewel-buckle-pumps-tr-blue-4497052,Manolo Blahnik,heels,https://dynamic.zacdn.com/giLXgkN0k3U4gTJbQvUkq4E1DbU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/manolo-blahnik-2199-2507944-1.jpg,Rp 24.249.000
https://www.zalora.co.id/p/valentino-roman-stud-heel-sandals-90-mm-ik-beige-4697220,Valentino,heels,https://dynamic.zacdn.com/NzRKbDhQFULlB6vfnGkKpfTLi7I=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-8061-0227964-1.jpg,Rp 23.409.000
https://www.zalora.co.id/p/valentino-roman-stud-heel-sandals-90-mm-ik-black-4697245,Valentino,heels,https://dynamic.zacdn.com/9iIN7aSjPN0l0INKfh_OpEHgAC0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-8066-5427964-1.jpg,Rp 23.409.000
https://www.zalora.co.id/p/manolo-blahnik-hazra-fan-pointed-toe-stiletto-pumps-tr-beige-4497064,Manolo Blahnik,heels,https://dynamic.zacdn.com/VWLPg7G47LLZWK6zeuCNTQq9p48=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/manolo-blahnik-2194-4607944-1.jpg,Rp 23.489.000
https://www.zalora.co.id/p/roger-vivier-brooch-slingback-pumps-tr-black-4497057,Roger Vivier,heels,https://dynamic.zacdn.com/GEsqpfqox_F4x15_r7na7-OmTIY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/roger-vivier-2218-7507944-1.jpg,Rp 22.119.000
https://www.zalora.co.id/p/valentino-rockstud-heel-sandals-ik-beige-4697234,Valentino,heels,https://dynamic.zacdn.com/g9wVglNBgXPLVdagzejbDFzkrPo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0904-4327964-1.jpg,Rp 21.969.000
https://www.zalora.co.id/p/valentino-roman-stud-heel-sandals-60-mm-ik-black-4697225,Valentino,heels,https://dynamic.zacdn.com/saDnw5QHwiyEPUxtASBnl9jlozc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-8048-5227964-1.jpg,Rp 21.969.000
https://www.zalora.co.id/p/manolo-blahnik-guye-buckle-detailed-heel-sandals-tr-yellow-4497062,Manolo Blahnik,heels,https://dynamic.zacdn.com/KpU_dd3wQC7ELysuslCHD1YpXCY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/manolo-blahnik-2204-2607944-1.jpg,Rp 21.769.000
https://www.zalora.co.id/p/loewe-toy-pumps-tr-yellow-4497072,Loewe,heels,https://dynamic.zacdn.com/0iKVqMWl13n5l8s0dzT2k0Iicc4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/loewe-2215-2707944-1.jpg,Rp 21.679.000
https://www.zalora.co.id/p/gianvito-rossi-suede-heels-with-rhinestones-ik-black-4288677,Gianvito Rossi,heels,https://dynamic.zacdn.com/_jaRuN5YN198l-Y8_74Y388JQ68=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/gianvito-rossi-0836-7768824-1.jpg,Rp 27.749.000
https://www.zalora.co.id/p/salvatore-ferragamo-helena-ornament-soft-bow-heels-ik-black-4288638,Salvatore Ferragamo,heels,https://dynamic.zacdn.com/s47N4AEC83utR3yF79wjghhT_-w=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-1267-8368824-1.jpg,Rp 21.419.000
https://www.zalora.co.id/p/gianvito-rossi-sigma-mules-ik-silver-4288587,Gianvito Rossi,heels,https://dynamic.zacdn.com/6P9ly5hsmHtLG5kEg_UrzxP8ado=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/gianvito-rossi-2461-7858824-1.jpg,Rp 19.149.000
https://www.zalora.co.id/p/gianvito-rossi-rania-mule-85-heels-ik-white-4288680,Gianvito Rossi,heels,https://dynamic.zacdn.com/ERB3wDtl1sQcLakp3xllJKB_zXg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/gianvito-rossi-0407-0868824-1.jpg,Rp 25.609.000
https://www.zalora.co.id/p/gianvito-rossi-bijoux-crystal-heels-ik-black-4288627,Gianvito Rossi,heels,https://dynamic.zacdn.com/yk1TixljJwZocPUT2mdCZLHKaYw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/gianvito-rossi-0429-7268824-1.jpg,Rp 25.609.000
https://www.zalora.co.id/p/valentino-roman-stud-heel-sandals-60-mm-ik-beige-4697221,Valentino,heels,https://dynamic.zacdn.com/fDBMsfBxLbILncBM3Lti-ukjrpc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0900-1227964-1.jpg,Rp 19.509.000
https://www.zalora.co.id/p/valentino-roman-stud-heel-sandals-60-mm-ik-white-4697233,Valentino,heels,https://dynamic.zacdn.com/7Y_9o1YUSQVrSwlydBRSSfTWvRQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0902-3327964-1.jpg,Rp 19.509.000
https://www.zalora.co.id/p/manolo-blahnik-pachana-transparent-pumps-tr-beige-4497053,Manolo Blahnik,heels,https://dynamic.zacdn.com/isRcUu2ylRFpCAqAPjLjvVdCwcI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/manolo-blahnik-2208-3507944-1.jpg,Rp 19.289.000
https://www.zalora.co.id/p/gianvito-rossi-betty-platform-crystal-heels-ik-black-4288691,Gianvito Rossi,heels,https://dynamic.zacdn.com/p5WbJGRvcsCVmPeDUHFMzY8pTzA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/gianvito-rossi-0409-1968824-1.jpg,Rp 24.749.000
https://www.zalora.co.id/p/roger-vivier-virgule-covered-buckle-heel-sandals-tr-white-4497061,Roger Vivier,heels,https://dynamic.zacdn.com/XBWOVXSiKaZqt_rBE6kWp5OufEY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/roger-vivier-2202-1607944-1.jpg,Rp 18.669.000
https://www.zalora.co.id/p/manolo-blahnik-caracol-strapped-heel-sandals-tr-green-4497067,Manolo Blahnik,heels,https://dynamic.zacdn.com/7iD0dg2yh8AR31W8XpW3eKzb1gQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/manolo-blahnik-2206-7607944-1.jpg,Rp 18.539.000
https://www.zalora.co.id/p/salvatore-ferragamo-elina-sandals-heels-ik-red-4228755,Salvatore Ferragamo,heels,https://dynamic.zacdn.com/Vy6hfdjz_YgboLC24FZpAEQ3BQQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-8477-5578224-1.jpg,Rp 26.719.000
