link,brand,category,image,price
https://www.zalora.co.id/p/maison-margiela-maison-margiela-anatomic-ankle-boots-black-black-4422584,,boots,https://dynamic.zacdn.com/3xO5BOvOxb_G-hWsUiQdP3gbzoA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/maison-margiela-4788-4852244-1.jpg,
https://www.zalora.co.id/p/maison-margiela-maison-margiela-tabi-60-leather-ankle-boots-black-black-4405941,,boots,https://dynamic.zacdn.com/tSPtfgqIJnRE6hUkEsXfpO2hZ30=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/maison-margiela-7402-1495044-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-originalgrand-platform-chelsea-wp-sepatu-wanita-hitam-black-4202955,,boots,https://dynamic.zacdn.com/plQ0QA7-DX0giVRBoTkR9ShJinQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-6323-5592024-1.jpg,
https://www.zalora.co.id/p/roger-vivier-roger-vivier-walky-viv-rhinestone-buckle-socks-ankle-boots-white-white-4425862,,boots,https://dynamic.zacdn.com/BuPDWv8KH70Oc0LMtXszdFSj6bI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/roger-vivier-7228-2685244-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-westerly-chelsea-boot-wr-sepatu-wanita-hitam-black-4261454,,boots,https://dynamic.zacdn.com/gUalbjwxMBXD2Qa6RBl0M-NGLdY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-7699-4541624-1.jpg,
https://www.zalora.co.id/p/celine-celine-bulky-mid-biker-boots-with-harness-in-calfskin-black-gold-black-4415598,,boots,https://dynamic.zacdn.com/WznpB4QBZS_LUssp2m2k0eDZTuM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/celine-4538-8955144-1.jpg,
https://www.zalora.co.id/p/celine-celine-lyra-triple-buckle-boots-in-calfskin-black-gold-black-4415589,,boots,https://dynamic.zacdn.com/uSh44tPKhLdm1PRb_y4oC5j7ikY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/celine-4539-9855144-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-turela-85-calf-leather-low-boots-black-black-4367235,,boots,https://dynamic.zacdn.com/Y6JjZGbPUD4FcBaJySAHaStu5qE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-2395-5327634-1.jpg,
https://www.zalora.co.id/p/celine-celine-bulky-lace-up-boot-calfskin-vegetal-tanning-dark-brown-brown-4367246,,boots,https://dynamic.zacdn.com/PxuzAXyjLal6WXdLTFnNNbrIhfs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/celine-2398-6427634-1.jpg,
https://www.zalora.co.id/p/celine-celine-margaret-double-zipped-buckle-boots-in-calfskin-black-gold-black-4415592,,boots,https://dynamic.zacdn.com/IiH-Xi1UHkR2pJR-ptQenzWJ6wo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/celine-4540-2955144-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-leigh-bootie-sepatu-wanita-hitam-black-4337015,,boots,https://dynamic.zacdn.com/KzrbLzlKyJUZFpOdwbivsIpqyQ8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-5051-5107334-1.jpg,
https://www.zalora.co.id/p/loewe-loewe-toy-ankle-nappa-lambskin-bootie-black-black-4422591,,boots,https://dynamic.zacdn.com/VaaLMKhN9upIe7umR82yDJF_8KE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/loewe-6482-1952244-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-en-hiver-lug-low-boots-calfskin-black-black-4425851,,boots,https://dynamic.zacdn.com/PEOY3pbSJVNYfirdYbZ5fOWP2iY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-1114-1585244-1.jpg,
https://www.zalora.co.id/p/loro-piana-loro-piana-open-walk-chukka-boots-saddle-brown-brown-4672815,,boots,https://dynamic.zacdn.com/_SdwszICzNeT6YTttFQhMVfJ85c=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/loro-piana-6451-5182764-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-chelsea-booty-lug-calfskin-black-black-4415588,,boots,https://dynamic.zacdn.com/eoEMrBBSoBU1u33OhMMwUjlzPkM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-1105-8855144-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-originalgrand-platform-chelsea-wp-sepatu-wanita-merah-red-4202959,,boots,https://dynamic.zacdn.com/-1q12SbFdWUDDK-f5Xq5wa9UGFI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-6326-9592024-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-astribooty-85-booties-black-black-3962510,,boots,https://dynamic.zacdn.com/N9D3t8YStudUtLTTe8tsCtZQ1_w=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-1798-0152693-1.jpg,
https://www.zalora.co.id/p/michael-kors-michael-kors-carmen-leather-ankle-boot-black-4291310,,boots,https://dynamic.zacdn.com/tEtyPKCqiXbU2QzGh0dweLkDgAM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-4856-0131924-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-cl-chelsea-70mm-low-boots-calf-leather-black-black-4422529,,boots,https://dynamic.zacdn.com/kQMTFt3e660d9fgXfYRHC8vBCkA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-4552-9252244-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-originalgrand-platform-chelsea-wp-sepatu-wanita-coklat-brown-4202958,,boots,https://dynamic.zacdn.com/dZs6sCCtxvm1DIMhoX62m4Dbf2g=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-6329-8592024-1.jpg,
https://www.zalora.co.id/p/hermes-hermes-jumping-shorter-boots-black-phw-black-4590323,,boots,https://dynamic.zacdn.com/Ufy_10UVMZvUmAs85Oxt-R5nL7U=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hermes-9197-3230954-1.jpg,
https://www.zalora.co.id/p/michael-kors-michael-kors-trudy-leather-and-logo-boot-brown-4291308,,boots,https://dynamic.zacdn.com/a2U-triPchhY91a7CLH7YRGOo-E=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-8431-8031924-1.jpg,
https://www.zalora.co.id/p/michael-kors-hamilton-embellished-leather-and-logo-ankle-boot-multi-4330826,,boots,https://dynamic.zacdn.com/KMzaVYrFyBxH6YUYshOjIzTVqg4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-1480-6280334-1.jpg,
https://www.zalora.co.id/p/prada-prada-triangle-65-metal-logo-boots-leather-cognac-brown-4410341,,boots,https://dynamic.zacdn.com/vCw4iV5F7KN5YsXSaC5h_H9D3sQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/prada-2464-1430144-1.jpg,
https://www.zalora.co.id/p/tods-preloved-tods-lace-up-ankle-boots-in-brown-suede-brown-4621999,,boots,https://dynamic.zacdn.com/u4q9D6rFuXFJgLWSh2FS3VMLpag=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tods-0217-9991264-1.jpg,
https://www.zalora.co.id/p/fendi-fendi-f-graphy-leather-biker-boots-black-multi-4634731,,boots,https://dynamic.zacdn.com/bUoB8dL-WnB63_ZfG-5DnGCBrV4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/fendi-2199-1374364-1.jpg,
