link,brand,category,image,price
https://www.zalora.co.id/p/roger-vivier-brooch-slingback-pumps-tr-black-4497057,Roger Vivier,heels,https://dynamic.zacdn.com/GEsqpfqox_F4x15_r7na7-OmTIY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/roger-vivier-2218-7507944-1.jpg,Rp 22.119.000
https://www.zalora.co.id/p/manolo-blahnik-pachana-transparent-pumps-tr-beige-4497053,Manolo Blahnik,heels,https://dynamic.zacdn.com/isRcUu2ylRFpCAqAPjLjvVdCwcI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/manolo-blahnik-2208-3507944-1.jpg,Rp 19.289.000
https://www.zalora.co.id/p/tory-burch-cap-toe-pump-heels-nt-pink-4681584,Tory Burch,heels,https://dynamic.zacdn.com/nykmuHkRENJXzYWcWJ3cTcD7TTs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2025-4851864-1.jpg,Rp 8.599.000
https://www.zalora.co.id/p/valentino-rockstud-heel-sandals-ik-beige-4697234,Valentino,heels,https://dynamic.zacdn.com/g9wVglNBgXPLVdagzejbDFzkrPo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0904-4327964-1.jpg,Rp 21.969.000
https://www.zalora.co.id/p/valentino-roman-stud-heel-sandals-90-mm-ik-beige-4697220,Valentino,heels,https://dynamic.zacdn.com/NzRKbDhQFULlB6vfnGkKpfTLi7I=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-8061-0227964-1.jpg,Rp 23.409.000
https://www.zalora.co.id/p/tory-burch-cap-toe-mary-jane-heeled-pumps-nt-black-4681502,Tory Burch,heels,https://dynamic.zacdn.com/7-Sn4J1S-FmyzMF71sxyiLNOkA0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1955-2051864-1.jpg,Rp 8.319.000
https://www.zalora.co.id/p/valentino-roman-stud-heel-sandals-90-mm-ik-black-4697245,Valentino,heels,https://dynamic.zacdn.com/9iIN7aSjPN0l0INKfh_OpEHgAC0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-8066-5427964-1.jpg,Rp 23.409.000
https://www.zalora.co.id/p/tory-burch-everly-block-heels-bb-black-4593995,Tory Burch,heels,https://dynamic.zacdn.com/UeBDDwS_Pl1D-vn8urvFilO86tE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2833-5993954-1.jpg,Rp 8.429.000
https://www.zalora.co.id/p/tory-burch-capri-low-heel-sandals-nt-black-4681482,Tory Burch,heels,https://dynamic.zacdn.com/dv6cBJM_d6wxbIGbelu-PlmjeV0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-0823-2841864-1.jpg,Rp 7.209.000
https://www.zalora.co.id/p/salvatore-ferragamo-vara-pumps-ik-beige-4716290,Salvatore Ferragamo,heels,https://dynamic.zacdn.com/VqauDfq3PZG53yS80YGeG0FG-1c=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-2512-0926174-1.jpg,Rp 14.829.000
https://www.zalora.co.id/p/valentino-roman-stud-heel-sandals-60-mm-ik-beige-4697221,Valentino,heels,https://dynamic.zacdn.com/fDBMsfBxLbILncBM3Lti-ukjrpc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0900-1227964-1.jpg,Rp 19.509.000
https://www.zalora.co.id/p/valentino-roman-stud-heel-sandals-60-mm-ik-black-4697225,Valentino,heels,https://dynamic.zacdn.com/saDnw5QHwiyEPUxtASBnl9jlozc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-8048-5227964-1.jpg,Rp 21.969.000
https://www.zalora.co.id/p/salvatore-ferragamo-vara-pumps-ik-black-4716292,Salvatore Ferragamo,heels,https://dynamic.zacdn.com/taA1I1yL-PRTRkuaT7uWq2ciIPs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-2597-2926174-1.jpg,Rp 14.829.000
https://www.zalora.co.id/p/kate-spade-bowdie-slingback-pumps-cq-beige-4627953,Kate Spade,heels,https://dynamic.zacdn.com/G6x8J3mKOcG2pGr_YLLH-XsVK_o=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kate-spade-2853-3597264-1.jpg,Rp 6.769.000
https://www.zalora.co.id/p/salvatore-ferragamo-vara-pumps-ik-brown-4716305,Salvatore Ferragamo,heels,https://dynamic.zacdn.com/ZpzBt7A3MkStJws9ALoErnKij6g=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-2600-5036174-1.jpg,Rp 14.829.000
https://www.zalora.co.id/p/coach-tillie-sandals-cq-black-4766078,Coach,heels,https://dynamic.zacdn.com/Sd5UHDzUuf74NNsqBxkPUQgLzcQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/coach-9773-8706674-1.jpg,Rp 5.409.000
https://www.zalora.co.id/p/salvatore-ferragamo-lyana-ornament-metal-bow-sandal-heels-ik-black-4478985,Salvatore Ferragamo,heels,https://dynamic.zacdn.com/_ETfdj6L1nvqxPTW-v1C6oLj9h8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-9233-5898744-1.jpg,Rp 16.219.000
https://www.zalora.co.id/p/valentino-roman-stud-heel-sandals-60-mm-ik-white-4697233,Valentino,heels,https://dynamic.zacdn.com/7Y_9o1YUSQVrSwlydBRSSfTWvRQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0902-3327964-1.jpg,Rp 19.509.000
https://www.zalora.co.id/p/salvatore-ferragamo-vara-pumps-ik-white-4716288,Salvatore Ferragamo,heels,https://dynamic.zacdn.com/bqAHah-ai_ZX6mp1_iO1dAx8oeY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-2497-8826174-1.jpg,Rp 14.829.000
https://www.zalora.co.id/p/ferragamo-new-vara-plate-low-heel-pumps-bb-black-4670381,Ferragamo,heels,https://dynamic.zacdn.com/cSE3I3HfdGu8wo-0cYnxM2RsQRc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/ferragamo-2416-1830764-1.jpg,Rp 17.649.000
https://www.zalora.co.id/p/tory-burch-cap-toe-mary-jane-heeled-pumps-nt-pink-4681573,Tory Burch,heels,https://dynamic.zacdn.com/UBRp6rhDbAPHUeSJ5j-d6mhdyCc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2016-3751864-1.jpg,Rp 8.319.000
https://www.zalora.co.id/p/tory-burch-miller-pave-bombe-low-heel-sandals-ik-black-4748757,Tory Burch,heels,https://dynamic.zacdn.com/f5PB5AQGTCCpU1yvr722RKHWdz0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-4994-7578474-1.jpg,Rp 12.059.000
https://www.zalora.co.id/p/salvatore-ferragamo-marlina-slingback-ballerina-pumps-ik-blue-4478994,Salvatore Ferragamo,heels,https://dynamic.zacdn.com/CGjr-NAKqjyvT2hRdqaVqrRXPto=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-4018-4998744-1.jpg,Rp 15.459.000
https://www.zalora.co.id/p/salvatore-ferragamo-zelie-mule-heels-ik-white-4479017,Salvatore Ferragamo,heels,https://dynamic.zacdn.com/0El1zLiMO_Vmv6lVpqBGpSkSMaE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-8007-7109744-1.jpg,Rp 15.459.000
https://www.zalora.co.id/p/roger-vivier-virgule-covered-buckle-heel-sandals-tr-white-4497061,Roger Vivier,heels,https://dynamic.zacdn.com/XBWOVXSiKaZqt_rBE6kWp5OufEY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/roger-vivier-2202-1607944-1.jpg,Rp 18.669.000
https://www.zalora.co.id/p/manolo-blahnik-guye-buckle-detailed-heel-sandals-tr-yellow-4497062,Manolo Blahnik,heels,https://dynamic.zacdn.com/KpU_dd3wQC7ELysuslCHD1YpXCY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/manolo-blahnik-2204-2607944-1.jpg,Rp 21.769.000
https://www.zalora.co.id/p/manolo-blahnik-bambimu-satin-jewel-buckle-pumps-tr-blue-4497052,Manolo Blahnik,heels,https://dynamic.zacdn.com/giLXgkN0k3U4gTJbQvUkq4E1DbU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/manolo-blahnik-2199-2507944-1.jpg,Rp 24.249.000
https://www.zalora.co.id/p/bottega-veneta-jimbo-rubber-heel-sandals-tr-brown-4497063,BOTTEGA VENETA,heels,https://dynamic.zacdn.com/a4tZQjH5MZbpbdw5GZzyo7hv0J8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bottega-veneta-2188-3607944-1.jpg,Rp 17.169.000
https://www.zalora.co.id/p/salvatore-ferragamo-arlene-slingback-pumps-ik-black-4479011,Salvatore Ferragamo,heels,https://dynamic.zacdn.com/9ML5pBBRNtH2uZ7n-tVEMPeiiZA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-8018-1109744-1.jpg,Rp 16.659.000
https://www.zalora.co.id/p/bottega-veneta-jimbo-rubber-heel-sandals-tr-green-4497060,BOTTEGA VENETA,heels,https://dynamic.zacdn.com/s74Pzhr5zrxmBnawz2-y7-XiPBE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bottega-veneta-2197-0607944-1.jpg,Rp 17.169.000
https://www.zalora.co.id/p/tory-burch-everly-block-heels-bb-brown-4594027,Tory Burch,heels,https://dynamic.zacdn.com/3bYebhC5x74SbUDxKUBDKE_vpW4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2076-7204954-1.jpg,Rp 8.429.000
https://www.zalora.co.id/p/tory-burch-everly-mini-heeled-sandals-bb-black-4594030,Tory Burch,heels,https://dynamic.zacdn.com/m7r6gSrMn3AEETyx4yK_5xL1dwU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2843-0304954-1.jpg,Rp 9.789.000
https://www.zalora.co.id/p/tory-burch-eleanor-pave-pump-100-bb-black-4594036,Tory Burch,heels,https://dynamic.zacdn.com/RCM4SpEpGhjYr8l2qug6IUhahyE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-0601-6304954-1.jpg,Rp 12.039.000
https://www.zalora.co.id/p/hope-rosa-hope-rosa-norma-black-kitten-heel-pump-black-4620321,HOPE ROSA,heels,https://dynamic.zacdn.com/WgnM91s20W4qoYoCR22SybgvUuI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hope-rosa-3184-1230264-1.jpg,Rp 2.366.533
https://www.zalora.co.id/p/roger-vivier-i-love-vivier-strappy-heels-tr-beige-4497075,Roger Vivier,heels,https://dynamic.zacdn.com/8q24_h02Tn3PY672hs3Qlo-UFHU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/roger-vivier-0407-5707944-1.jpg,Rp 17.169.000
https://www.zalora.co.id/p/balenciaga-duty-free-60mm-sandals-nt-black-4612503,BALENCIAGA,heels,https://dynamic.zacdn.com/iI7xXHxpLq3MTWCXfOQv-CT8znw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/balenciaga-9324-3052164-1.jpg,Rp 14.169.000
https://www.zalora.co.id/p/loewe-toy-pumps-tr-yellow-4497072,,heels,https://dynamic.zacdn.com/0iKVqMWl13n5l8s0dzT2k0Iicc4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/loewe-2215-2707944-1.jpg,
https://www.zalora.co.id/p/manolo-blahnik-hazra-fan-pointed-toe-stiletto-pumps-tr-beige-4497064,,heels,https://dynamic.zacdn.com/VWLPg7G47LLZWK6zeuCNTQq9p48=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/manolo-blahnik-2194-4607944-1.jpg,
https://www.zalora.co.id/p/loewe-nail-polish-heel-mules-tr-black-4497054,,heels,https://dynamic.zacdn.com/HymFuAhcic62JHmFETHxyDgr89A=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/loewe-2207-4507944-1.jpg,
https://www.zalora.co.id/p/loewe-leather-drop-heel-mules-tr-white-4497068,,heels,https://dynamic.zacdn.com/kXKQaNWmGqRIazmyMSxGmCCphE4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/loewe-2192-8607944-1.jpg,
https://www.zalora.co.id/p/manolo-blahnik-caracol-strapped-heel-sandals-tr-green-4497067,,heels,https://dynamic.zacdn.com/7iD0dg2yh8AR31W8XpW3eKzb1gQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/manolo-blahnik-2206-7607944-1.jpg,
https://www.zalora.co.id/p/kate-spade-saffron-heels-hz-brown-4309475,,heels,https://dynamic.zacdn.com/6I-gInFFtTgSxM6n5GO4QStP5wg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kate-spade-8514-5749034-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-salvatore-ferragamo-ornella-55-heeled-sandals-brown-brown-4146018,,heels,https://dynamic.zacdn.com/-TL7I8A2v_gv1locmi2oCFXlWPM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-1990-8106414-1.jpg,
https://www.zalora.co.id/p/michael-kors-jordyn-embellished-metallic-snake-embossed-leather-platform-sandal-gold-4668556,,heels,https://dynamic.zacdn.com/tQqNe_Jy7RrKNPGUMEV7TQxDKOE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-3696-6558664-1.jpg,
https://www.zalora.co.id/p/michael-kors-alora-hand-woven-leather-slingback-pump-brown-4618532,,heels,https://dynamic.zacdn.com/L0YYDjOuSmU-YavfPdhCZpo2Xbc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-7645-2358164-1.jpg,
https://www.zalora.co.id/p/valentino-garavani-valentino-garavani-vlogo-60-patent-leather-heels-slide-rose-canelle-brown-4641648,,heels,https://dynamic.zacdn.com/-xi3xI-_3iNIbMsc_ao1HO6lrYo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-garavani-0505-8461464-1.jpg,
https://www.zalora.co.id/p/tory-burch-tory-burch-cap-toe-45-pumps-ginger-mousse-perfect-black-multi-4758509,,heels,https://dynamic.zacdn.com/md3ihQPPqjAmHa6Zr9Q3SQfdiTI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-5557-9058574-1.jpg,
https://www.zalora.co.id/p/michael-kors-veronica-leather-sandal-blue-4481534,,heels,https://dynamic.zacdn.com/0rKPMJh0QRSe-dRtMOGeGr_Axp0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-4308-4351844-1.jpg,
https://www.zalora.co.id/p/manolo-blahnik-manolo-blahnik-hangisi-70-satin-pumps-with-clc-crystal-buckle-light-cream-white-4496124,,heels,https://dynamic.zacdn.com/YlBNw7MDZFFGl2NQs5C0Iy0HlPk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/manolo-blahnik-4314-4216944-1.jpg,
https://www.zalora.co.id/p/mach-mach-mach-mach-triple-heart-satin-slingback-pumps-heels-110mm-white-white-3977917,,heels,https://dynamic.zacdn.com/rUJlmJkRnx4i568wrGH-CSZ-D-o=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mach-mach-5645-7197793-1.jpg,
https://www.zalora.co.id/p/tory-burch-tory-burch-claire-25-leather-heel-ballets-pink-pink-4696398,,heels,https://dynamic.zacdn.com/ZDNDRLqPPG0SQZ5U4Qju0l3Q1hA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-7586-8936964-1.jpg,
https://www.zalora.co.id/p/michael-kors-alina-flex-leather-pump-red-4673208,,heels,https://dynamic.zacdn.com/T7d06LIf0T-93j2n_gcal-q9jxs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-3695-8023764-1.jpg,
https://www.zalora.co.id/p/yongki-komaladi-original-yongki-komaladi-heels-ol-ehrn7100-24-hitam-black-4449554,,heels,https://dynamic.zacdn.com/dWMW9L3UJh8BE26QjwaJipBc_ck=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/yongki-komaladi-3087-4559444-1.jpg,
https://www.zalora.co.id/p/michael-kors-nadina-wedge-sandal-black-4672961,,heels,https://dynamic.zacdn.com/JFYz6eY0NcwFQ2pRC9xPTYav_VI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-3704-1692764-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-salvatore-ferragamo-double-gancini-55-sandal-heels-sella-brown-4025368,,heels,https://dynamic.zacdn.com/k2vfVypU6gEx7JZJ8ROW0OimBUc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-1864-8635204-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-kate-8-5cm-heel-pumps-black-black-3986034,,heels,https://dynamic.zacdn.com/7oPqNx_cYVqMzCX8cwKi7av1V7k=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-1814-4306893-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-salvatore-ferragamo-venera-20-patent-calfskin-pumps-mascarpone-white-4697819,,heels,https://dynamic.zacdn.com/z-WKe5QMl4SgHSrpzsRQOucs9QU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-1918-9187964-1.jpg,
https://www.zalora.co.id/p/michael-kors-berkley-leather-block-heel-sandal-brown-4481531,,heels,https://dynamic.zacdn.com/mWzIvBPD_POgdwCnRWrauRCRLkw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-4310-1351844-1.jpg,
https://www.zalora.co.id/p/michael-kors-veronica-leather-sandal-pink-4481535,,heels,https://dynamic.zacdn.com/dZEPPTGTJw-sm-4hg3cp_eGO_8Y=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-4309-5351844-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-salvatore-ferragamo-double-gancini-55-sandal-heels-black-black-3986013,,heels,https://dynamic.zacdn.com/7MRj_DgeXNT51SK2dFC7ftPJMbU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-6914-3106893-1.jpg,
https://www.zalora.co.id/p/michael-kors-corrine-leather-sandal-black-4673224,,heels,https://dynamic.zacdn.com/zaVVXoLqtWevx-MDOqyfv6IWKgU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-3699-4223764-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-salvatore-ferragamo-ornella-55-heeled-sandals-black-black-4102845,,heels,https://dynamic.zacdn.com/6RgFpoYFkbDN-Nn-_q-Bb4mifMU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-1933-5482014-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-mckelya-pumps-85mm-sepatu-wanita-dark-brown-brown-4640498,,heels,https://dynamic.zacdn.com/wD4tMotr42KyS-kOoVhQtJ8ut9w=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-0539-8940464-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-mckelya-pumps-85mm-sepatu-wanita-black-black-4640499,,heels,https://dynamic.zacdn.com/wTMDw7HCRo-9g-stX8olj31LYI4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-0601-9940464-1.jpg,
