link,brand,category,image,price
https://www.zalora.co.id/p/kate-spade-miami-slide-sandals-hz-black-4309502,,sandal,https://dynamic.zacdn.com/QHAK5uutnKyQ55GG7ydVCUMHhgs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kate-spade-8539-2059034-1.jpg,
https://www.zalora.co.id/p/ferragamo-mikela-leather-slides-zt-black-4259865,,sandal,https://dynamic.zacdn.com/NLRHBVIbepDwFoyCiuM9QSWZZ1Y=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/ferragamo-6844-5689524-1.jpg,
https://www.zalora.co.id/p/off-white-quote-slide-sandals-ik-black-4674648,,sandal,https://dynamic.zacdn.com/WhKJxTCcaKEFBieXy3X4H-letRU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/off-white-1864-8464764-1.jpg,
https://www.zalora.co.id/p/tory-burch-miller-pave-knotted-sandals-nt-silver-4681517,,sandal,https://dynamic.zacdn.com/A7k8N1lX1R_Fsoi6DXs03ZcFA14=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1968-7151864-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-gancini-ornament-flat-slides-ik-brown-4716291,,sandal,https://dynamic.zacdn.com/23hOhOryH1FLb9Ujbkvn9Lx5dd8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-2598-1926174-1.jpg,
https://www.zalora.co.id/p/tory-burch-miller-pave-knotted-sandals-nt-black-4681549,,sandal,https://dynamic.zacdn.com/PIAtOTOtsUKbh-D1I6UZN45geoc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1995-9451864-1.jpg,
https://www.zalora.co.id/p/valentino-roman-stud-flat-sandals-ik-beige-4697224,,sandal,https://dynamic.zacdn.com/CSRea0L3fwbBLJo2NPZfS9j3JgE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0901-4227964-1.jpg,
https://www.zalora.co.id/p/valentino-roman-stud-flat-sandals-ik-white-4697226,,sandal,https://dynamic.zacdn.com/OJEIGO1nIB5DJrZ9NuoCYJZKLNk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0901-6227964-1.jpg,
https://www.zalora.co.id/p/kate-spade-piazza-sandals-nt-gold-4713760,,sandal,https://dynamic.zacdn.com/EydT7jFmDtjozRWfWQHfdAUJZvY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kate-spade-8441-0673174-1.jpg,
https://www.zalora.co.id/p/tory-burch-miller-sandals-nt-black-4681472,,sandal,https://dynamic.zacdn.com/s2mA5l_b_aXW-lwfZw-duuSRwzg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1931-2741864-1.jpg,
https://www.zalora.co.id/p/tory-burch-miller-pave-knotted-sandals-nt-blue-4681610,,sandal,https://dynamic.zacdn.com/4Vn7sp946sEwnTV2nCbLpYUBvyA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2048-0161864-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-gancini-ornament-flat-slides-ik-black-4716299,,sandal,https://dynamic.zacdn.com/-0wAFsC7uQuJB3fLIhV3-BH8cv4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-2611-9926174-1.jpg,
https://www.zalora.co.id/p/tory-burch-miller-pave-knotted-sandal-nt-pink-4681488,,sandal,https://dynamic.zacdn.com/xAOLKaODGW2EW79IWatj1FUzMP0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-0815-8841864-1.jpg,
https://www.zalora.co.id/p/tory-burch-miller-sandals-ik-brown-4748782,,sandal,https://dynamic.zacdn.com/Qjs6MgfhEV_cU1IBshLg0LMg-vU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-4973-2878474-1.jpg,
https://www.zalora.co.id/p/kate-spade-petit-sandals-nt-black-4713759,,sandal,https://dynamic.zacdn.com/doguZCpqUGxlG2LTn9WqzhnYrP8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kate-spade-8466-9573174-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-gancini-slides-tr-orange-4497069,,sandal,https://dynamic.zacdn.com/1t-BE2p3ddltOczdQTXJ20vWUCI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-2205-9607944-1.jpg,
