link,brand,category,image,price
https://www.zalora.co.id/p/fladeo-fladeo-h24-lsfm505-2br-mocca-4697443,Fladeo,slip_on_espadrilles,https://dynamic.zacdn.com/OrWHI3az5E1cSqSRlGc3lLEfw6U=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/fladeo-6710-3447964-1.jpg,
https://www.zalora.co.id/p/valentino-garavani-valentino-garavani-toile-iconographe-35-flatform-espadrilles-natural-black-multi-4672804,Valentino Garavani,slip_on_espadrilles,https://dynamic.zacdn.com/JeQELE23U0Zq2BA5fV_-zYJjUQ4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-garavani-6384-4082764-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-salvatore-ferragamo-susana-espadrilles-snow-white-4102852,Salvatore Ferragamo,slip_on_espadrilles,https://dynamic.zacdn.com/mHaF4Elz8vCxZPq7vk59EQSHC34=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-1936-2582014-1.jpg,
https://www.zalora.co.id/p/valentino-garavani-valentino-garavani-rockstud-studed-patent-leather-mules-poudre-beige-3684870,Valentino Garavani,slip_on_espadrilles,https://dynamic.zacdn.com/svvV5oO-Qs50xk0Q5B9X98la1rA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-garavani-3757-0784863-1.jpg,
https://www.zalora.co.id/p/michael-kors-emmett-embellished-slip-on-sneakers-cq-white-pink-4688751,MICHAEL KORS,slip_on_espadrilles,https://dynamic.zacdn.com/0S-c2cqaepXR-zDaKvOoHyhG66E=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-2013-1578864-1.jpg,
https://www.zalora.co.id/p/michael-kors-emmett-embellished-slip-on-sneakers-cq-white-4688756,MICHAEL KORS,slip_on_espadrilles,https://dynamic.zacdn.com/-KmBXa-JZ2xlcg4ARGwg4E-gVtI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-2007-6578864-1.jpg,
https://www.zalora.co.id/p/michael-kors-geena-glitter-chain-mesh-slip-on-trainers-cq-beige-4688753,MICHAEL KORS,slip_on_espadrilles,https://dynamic.zacdn.com/jezkNFlZumPFpy4ITcD1jPQvEFU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-2023-3578864-1.jpg,
https://www.zalora.co.id/p/malone-souliers-malone-souliers-maisie-flat-mules-mesh-rose-rose-pink-pink-4106486,Malone Souliers,slip_on_espadrilles,https://dynamic.zacdn.com/IGG6ZPv1pyvG4zYd9VNnwoNek1M=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/malone-souliers-7659-6846014-1.jpg,
https://www.zalora.co.id/p/coach-sepatu-coach-monogram-brown-espadrilles-100-original-brown-4701766,Coach,slip_on_espadrilles,https://dynamic.zacdn.com/PBGIqgAFG8Z9bITWD4IzDnGhz1w=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/coach-6361-6671074-1.jpg,
https://www.zalora.co.id/p/tods-tod-s-chain-sabots-mules-flat-black-ghw-black-3745715,,slip_on_espadrilles,https://dynamic.zacdn.com/qWvcyvNBOz7uIspce6OJZkYK_pc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tods-9123-5175473-1.jpg,
https://www.zalora.co.id/p/malone-souliers-malone-souliers-maureen-nappa-leather-mules-black-nude-black-3708764,,slip_on_espadrilles,https://dynamic.zacdn.com/9YPIrcOFgOWd5a6DipO6dXkQD0w=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/malone-souliers-7882-4678073-1.jpg,
https://www.zalora.co.id/p/tods-tod-s-chain-sabots-mules-brown-brown-3748557,,slip_on_espadrilles,https://dynamic.zacdn.com/GfWnyVVD50oF2k6SAXqhJJFe_hM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tods-4773-7558473-1.jpg,
https://www.zalora.co.id/p/tods-tod-s-chain-sabots-mules-flat-dark-biscuits-brown-3654864,,slip_on_espadrilles,https://dynamic.zacdn.com/PTs0Qa2gmkQ8jyqSW09SQpSbE6M=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tods-7160-4684563-1.jpg,
https://www.zalora.co.id/p/gucci-gucci-horsebit-square-toe-mules-black-gold-black-4468169,,slip_on_espadrilles,https://dynamic.zacdn.com/_zxsnR0ZLXV9s-MAXIHUnBP1_Bg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/gucci-6963-9618644-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-4-zerogrand-loafer-sepatu-wanita-hitam-black-3830689,,slip_on_espadrilles,https://dynamic.zacdn.com/adRKwtKutuXoQapES-LbE7etPno=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-6636-9860383-1.jpg,
https://www.zalora.co.id/p/kenzo-sepatu-kenzo-big-boke-flower-red-pink-espadrilles-100-original-multi-4708030,,slip_on_espadrilles,https://dynamic.zacdn.com/1TWxFj3bT2Z2BhKdfQacBgrJ0Y0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kenzo-0335-0308074-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-4-zerogrand-stitchlite-loafer-sepatu-wanita-pink-pink-3962873,,slip_on_espadrilles,https://dynamic.zacdn.com/-bMaDEkNXLqIEUHxVDgpM5RN9wI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-2445-3782693-1.jpg,
https://www.zalora.co.id/p/hermes-hermes-oz-femme-mules-rose-aphrodite-phw-pink-4590313,,slip_on_espadrilles,https://dynamic.zacdn.com/-zFnIF_4NWu7VcFxGdf9giNe450=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hermes-1292-3130954-1.jpg,
https://www.zalora.co.id/p/kenzo-sepatu-kenzo-big-boke-flower-red-black-espadrilles-100-original-multi-4708024,,slip_on_espadrilles,https://dynamic.zacdn.com/KniWSIuLzXGFapx7bEIhn_CRD0E=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kenzo-0694-4208074-1.jpg,
https://www.zalora.co.id/p/michael-kors-michael-kors-aubrey-espradille-brown-4629273,,slip_on_espadrilles,https://dynamic.zacdn.com/5Hlq9mtQE0reN1FyBgr5YbrCC7o=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-6331-3729264-1.jpg,
https://www.zalora.co.id/p/saint-laurent-saint-laurent-espa-embroidered-side-logo-natural-beige-woman-white-3969634,,slip_on_espadrilles,https://dynamic.zacdn.com/QY5nqupeM78K8k9ZtAR1USPtd3s=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/saint-laurent-1802-4369693-1.jpg,
https://www.zalora.co.id/p/kenzo-sepatu-kenzo-boke-big-flower-black-slip-on-100-original-multi-4708027,,slip_on_espadrilles,https://dynamic.zacdn.com/SxnQzJ6Kb2vrg_GjlcObxViCCcM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kenzo-0269-7208074-1.jpg,
https://www.zalora.co.id/p/cole-haan-4zg-stl-ox-lilac-marble-knit-pink-3571151,,slip_on_espadrilles,https://dynamic.zacdn.com/MsaIufKPXK3N_I7pwmYW5nho8KI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-3553-1511753-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-grand-ambition-york-pump-sepatu-wanita-pink-pink-3945157,,slip_on_espadrilles,https://dynamic.zacdn.com/VwKCfKI3ixJV2CoHW1XYvsYExHo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-6228-7515493-1.jpg,
https://www.zalora.co.id/p/mlb-korea-playball-origin-mule-ny-yankees-white-white-4195438,,slip_on_espadrilles,https://dynamic.zacdn.com/3qgcWyh1DiP_wCfX2uluSaJw7M0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mlb-korea-0984-8345914-1.jpg,
https://www.zalora.co.id/p/kenzo-sepatu-kenzo-tiger-text-pink-espadrilles-100-original-pink-4708029,,slip_on_espadrilles,https://dynamic.zacdn.com/xtOaRQPwG15C7f3aYZhHUAW5mnc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kenzo-8612-9208074-1.jpg,
https://www.zalora.co.id/p/coach-coach-corrine-espadrille-flat-in-signature-jacquard-chalk-stone-brown-4047419,,slip_on_espadrilles,https://dynamic.zacdn.com/0RNcz7NUe0oQYWKhzCIUoVbVez0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/coach-5488-9147404-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-5-zerogrand-running-shoe-sepatu-wanita-putih-white-3945162,,slip_on_espadrilles,https://dynamic.zacdn.com/3gRVSvvdGUIBddA2DtG3jzc8uiE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-6207-2615493-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-cloudfeel-stcl-espdl-smokeberry-knit-sepatu-wanita-pink-pink-4037925,,slip_on_espadrilles,https://dynamic.zacdn.com/mYcKQ6vUOAQPfEIgB4uHTr5Yl3I=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-1433-5297304-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-mojave-slide-sandal-sandal-wanita-abu-abu-silver-3930497,,slip_on_espadrilles,https://dynamic.zacdn.com/Q1naRvtqonQamT_JXu3h1BH0Gng=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-6181-7940393-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-cloudfeel-stcl-espdl-peach-ivry-blu-sepatu-wanita-krem-beige-4015140,,slip_on_espadrilles,https://dynamic.zacdn.com/3axcE7vPRP0-rIajvH-mKuNdw7U=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-1343-0415104-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-grand-ambition-york-pump-sepatu-wanita-hitam-black-3945158,,slip_on_espadrilles,https://dynamic.zacdn.com/2kJHFyoPPJdYXCwsjb0_6do2zwc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-6218-8515493-1.jpg,
https://www.zalora.co.id/p/tory-burch-tory-burch-double-t-cotton-espadrilles-natural-light-alabaster-white-4672832,,slip_on_espadrilles,https://dynamic.zacdn.com/YIAKzgE60kHTe_QnWGAvGLOxRzc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-7869-2382764-1.jpg,
https://www.zalora.co.id/p/tory-burch-minnie-ballet-espadrille-perfect-black-4163871,,slip_on_espadrilles,https://dynamic.zacdn.com/mqKs1k0DWn4T4IKmXLwGO-ZjBpE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2052-1783614-1.jpg,
https://www.zalora.co.id/p/loro-piana-loro-piana-summer-charms-walk-mules-suede-shade-grown-shw-grey-4705835,,slip_on_espadrilles,https://dynamic.zacdn.com/_KE2jhmVQb2TdQ7vu0kp3GWI4Dc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/loro-piana-4256-5385074-1.jpg,
https://www.zalora.co.id/p/loro-piana-loro-piana-summer-charms-walk-mules-suede-azure-saphire-blue-4249546,,slip_on_espadrilles,https://dynamic.zacdn.com/lNo0sf8U_B1C-xlDAwIRM97HDUA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/loro-piana-3327-6459424-1.jpg,
https://www.zalora.co.id/p/loro-piana-loro-piana-babouche-charms-walk-with-surfboard-charm-moccasin-slipper-himalayan-salt-pink-4549308,,slip_on_espadrilles,https://dynamic.zacdn.com/7y6bvEvhYTza4nhTrImUQhF3FXM=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/loro-piana-2430-8039454-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-salvatore-ferragamo-susana-espadrilles-sella-brown-4102853,,slip_on_espadrilles,https://dynamic.zacdn.com/SIZYK4Y_J5s2RSplRP7nE-5QZ1w=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-1934-3582014-1.jpg,
https://www.zalora.co.id/p/saint-laurent-saint-laurent-espa-embroidered-side-logo-black-woman-black-4344476,,slip_on_espadrilles,https://dynamic.zacdn.com/v2aRIdSqTt0l9CZTNlHNEoUcIdw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/saint-laurent-2316-6744434-1.jpg,
https://www.zalora.co.id/p/mlb-korea-playball-origin-mule-boston-red-sox-mint-green-3991486,,slip_on_espadrilles,https://dynamic.zacdn.com/FUMliCRM_MM7FgeN4ifiIWzm_BE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mlb-korea-5443-6841993-1.jpg,
https://www.zalora.co.id/p/saint-laurent-saint-laurent-monogram-espadrilles-in-lambskin-white-white-3576101,,slip_on_espadrilles,https://dynamic.zacdn.com/PVqQwrow6zToqpPbgDPE3JLnjxE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/saint-laurent-1633-1016753-1.jpg,
https://www.zalora.co.id/p/saint-laurent-saint-laurent-embroidered-espadrilles-in-canvas-black-black-3780770,,slip_on_espadrilles,https://dynamic.zacdn.com/9g5lDiWzrpO1YkKhp1x4PtL2Xak=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/saint-laurent-5987-0770873-1.jpg,
https://www.zalora.co.id/p/mlb-korea-playball-origin-mule-la-dodgers-peach-orange-3991489,,slip_on_espadrilles,https://dynamic.zacdn.com/4GNw1Lc-F3pRYyre1yH-01hyyDg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mlb-korea-5440-9841993-1.jpg,
