link,brand,category,image,price
https://www.zalora.co.id/p/tory-burch-new-remember-kick-trainers-bb-white-pink-4408832,,sneakers,https://dynamic.zacdn.com/pzEHSFrHXK4OgCxfSWnT5jzFS9Q=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1553-2388044-1.jpg,
https://www.zalora.co.id/p/tory-burch-double-t-howell-court-sneakers-nt-white-4681535,,sneakers,https://dynamic.zacdn.com/-uzWANoqDgGtw95B1fglN251mpw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1982-5351864-1.jpg,
https://www.zalora.co.id/p/kate-spade-ace-glitter-sneakers-nt-pink-4713766,,sneakers,https://dynamic.zacdn.com/rm4FPeqzHe8WHCEpXJF8olxKicE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kate-spade-8478-6673174-1.jpg,
https://www.zalora.co.id/p/off-white-out-of-office-sneakers-ik-white-4674647,,sneakers,https://dynamic.zacdn.com/NHrt_dHOjC05Ll2Fy-TQqNimgaY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/off-white-1864-7464764-1.jpg,
https://www.zalora.co.id/p/valentino-vl7n-sneakers-ik-white-4697230,,sneakers,https://dynamic.zacdn.com/0nl1lUKWXUIUd4wGovzf2kS0Uzg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-8040-0327964-1.jpg,
https://www.zalora.co.id/p/tory-burch-double-t-howell-court-sneakers-nt-white-4681572,,sneakers,https://dynamic.zacdn.com/d1VSFhGKr7QmcuDWT2ZWoF6HRGw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-0818-2751864-1.jpg,
https://www.zalora.co.id/p/kate-spade-lexi-sneakers-nt-white-4713699,,sneakers,https://dynamic.zacdn.com/scrarOLhOkWs9xQy7-mH8pBabsc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kate-spade-8446-9963174-1.jpg,
https://www.zalora.co.id/p/tory-burch-good-luck-trainers-ik-beige-4748785,,sneakers,https://dynamic.zacdn.com/E6RGznSmnPz_JB8UZ4evyKjeewY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-4927-5878474-1.jpg,
https://www.zalora.co.id/p/kate-spade-lexi-sneakers-nt-white-blue-4713748,,sneakers,https://dynamic.zacdn.com/o7qZnJx7YiI5kK9cBG3YqTYrz4k=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kate-spade-8418-8473174-1.jpg,
https://www.zalora.co.id/p/burberry-rangleton-sneakers-nt-white-4477347,,sneakers,https://dynamic.zacdn.com/KqDkJHbM5WzUcjxobwG1zuwLosA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/burberry-6115-7437744-1.jpg,
https://www.zalora.co.id/p/kate-spade-trista-sneakers-nt-beige-4713747,,sneakers,https://dynamic.zacdn.com/MITrgm9R0YJIJcnYU9M6fU5FOMc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kate-spade-8440-7473174-1.jpg,
https://www.zalora.co.id/p/tory-burch-double-t-howell-court-sneakers-ik-white-pink-4748778,,sneakers,https://dynamic.zacdn.com/9Dzt9bzb3XaTkKb5Ayt3ymdcems=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1409-8778474-1.jpg,
https://www.zalora.co.id/p/tory-burch-good-luck-trainers-ik-black-4748755,,sneakers,https://dynamic.zacdn.com/7E4Ba3f_fUVqk8MRPdafcBctK2I=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-4856-5578474-1.jpg,
https://www.zalora.co.id/p/valentino-one-stud-sneakers-ik-white-4697236,,sneakers,https://dynamic.zacdn.com/zxWu1ImS4MX31iQ4iwSZWIGNs7I=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-7230-6327964-1.jpg,
https://www.zalora.co.id/p/kate-spade-fez-sneakers-nt-white-blue-4713755,,sneakers,https://dynamic.zacdn.com/GeltopsL6yre2n_ntupRMzhBc6s=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/kate-spade-8491-5573174-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-achille-sneakers-ik-white-red-4479016,,sneakers,https://dynamic.zacdn.com/8BVejzsH98lji1DbXjNi4wY89fI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-8010-6109744-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-nima-sneakers-ik-black-4478981,,sneakers,https://dynamic.zacdn.com/0-D8AuOsOoe5bfE9VFCNjUCkI3g=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-8019-1898744-1.jpg,
https://www.zalora.co.id/p/tory-burch-clover-court-sneakers-nt-white-4491154,,sneakers,https://dynamic.zacdn.com/Ht-dg2D_sGOaq19zxLAOOC86E58=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-8418-4511944-1.jpg,
https://www.zalora.co.id/p/tory-burch-new-remember-kick-trainers-bb-black-4408834,,sneakers,https://dynamic.zacdn.com/XfJyUJ4ApcPRPh9PkJuyS_aMAL8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1556-4388044-1.jpg,
https://www.zalora.co.id/p/tory-burch-new-remember-kick-trainers-bb-white-4408823,,sneakers,https://dynamic.zacdn.com/5X1uloHw5ibTnqTYHQI-0rcPz2w=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-3223-3288044-1.jpg,
https://www.zalora.co.id/p/balenciaga-balenciaga-x-adidas-triple-s-sneakers-tr-white-4497051,,sneakers,https://dynamic.zacdn.com/Jhxz33Wd_c8v8MBfxECMc3YzV2A=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/balenciaga-2193-1507944-1.jpg,
https://www.zalora.co.id/p/salvatore-ferragamo-achille-sneakers-ik-blue-4479018,,sneakers,https://dynamic.zacdn.com/rArb-MJ3PutjxHu4RRb2Ld2Jvk8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-8008-8109744-1.jpg,
https://www.zalora.co.id/p/tory-burch-clover-court-sneakers-nt-white-brown-4491105,,sneakers,https://dynamic.zacdn.com/mHGi7-UZ-S0pau-5765CcSrDnfw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-8416-5011944-1.jpg,
https://www.zalora.co.id/p/water-the-plant-wtp-water-the-plant-black-mamba-reflective-black-black-4581717,,sneakers,https://dynamic.zacdn.com/f_2Bwv98AbqnNLpdVDu5XO-ErVQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/water-the-plant-8499-7171854-1.jpg,
https://www.zalora.co.id/p/mlb-korea-bigball-chunky-mask-ny-cream-beige-4573200,,sneakers,https://dynamic.zacdn.com/BmOL3TIuPp_adchXPaggbQ2OLe8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/mlb-korea-8714-0023754-1.jpg,
https://www.zalora.co.id/p/moncler-moncler-trailgrip-gtx-trainers-nylon-and-nubuck-sneakers-beige-women-beige-4672856,,sneakers,https://dynamic.zacdn.com/dKeqdqxvhr4iuZr3mERCyauab4Q=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/moncler-6428-6582764-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-gp-topspin-sneaker-wht-leo-prt-sepatu-wanita-putih-white-4015139,,sneakers,https://dynamic.zacdn.com/2PLzTTmY1jHQy9Q4282t6NpAdqY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-0455-9315104-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-5zg-monk-strap-rnnr-silver-birch-sepatu-wanita-abu-abu-grey-4078687,,sneakers,https://dynamic.zacdn.com/awJvn-dEjYU2A1PiIYM8D64o7Sw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-3668-7868704-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-originalgrand-shortwing-golf-sepatu-wanita-putih-white-4054298,,sneakers,https://dynamic.zacdn.com/YddLitU3o7ZBoIy6MjciKsmzUtY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-3521-8924504-1.jpg,
https://www.zalora.co.id/p/veja-veja-campo-chromefree-grain-leather-low-top-sneakers-extra-white-khaki-white-3963893,,sneakers,https://dynamic.zacdn.com/WrRK2wdpG6rJntnCBVKYB9yb9DI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/veja-4495-3983693-1.jpg,
https://www.zalora.co.id/p/veja-veja-recife-chromefree-leather-low-top-sneakers-extra-white-natural-women-white-4606302,,sneakers,https://dynamic.zacdn.com/x8u3RjmCuvnX9F_W52wUMYQjzdw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/veja-2194-2036064-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-og-pltform-wingtp-ox-pecan-ivory-sepatu-wanita-coklat-brown-3962862,,sneakers,https://dynamic.zacdn.com/uo4jxDj83rvTROa28z96Q1Wxx7s=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-2408-2682693-1.jpg,
https://www.zalora.co.id/p/veja-veja-campo-chromefree-low-top-sneakers-leather-extra-white-california-women-white-4606276,,sneakers,https://dynamic.zacdn.com/EuCWmhyS1MQl7mfaXR9dAhNvXi8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/veja-0696-6726064-1.jpg,
