link,brand,category,image,price
https://www.zalora.co.id/p/tory-burch-everly-wedge-65-sandals-bb-black-4593996,,wedges,https://dynamic.zacdn.com/hdwXZo0dOL6QXrFapOOkn2LNLe4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2835-6993954-1.jpg,
https://www.zalora.co.id/p/tory-burch-everly-wedge-65-sandals-bb-brown-4594010,,wedges,https://dynamic.zacdn.com/-ZhIrWTbRBfPAGdz1nECBRZNmQU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-4145-0104954-1.jpg,
https://www.zalora.co.id/p/michael-kors-esme-leather-espadrille-wedge-sandal-brown-4672987,,wedges,https://dynamic.zacdn.com/IbvYxQ_pHVbLhj9EEpreVNRdE1Y=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-3703-7892764-1.jpg,
https://www.zalora.co.id/p/michael-kors-alma-gold-logo-strap-wedge-sandals-cq-gold-4688752,,wedges,https://dynamic.zacdn.com/rXsPopx454SX0ERscDVME2ITgUk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-2018-2578864-1.jpg,
https://www.zalora.co.id/p/michael-kors-alma-logo-strap-wedge-sandals-cq-white-4688745,,wedges,https://dynamic.zacdn.com/SqSR2CYIA8QciNwi1d3VgOGzLvE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-2011-5478864-1.jpg,
https://www.zalora.co.id/p/valentino-garavani-valentino-garavani-rockstud-95-ankle-strap-raffia-sandal-wedges-natural-almond-multi-4549322,,wedges,https://dynamic.zacdn.com/ro8T4BI8cTOhnSGC721FOfCVSNA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-garavani-0939-2239454-1.jpg,
https://www.zalora.co.id/p/tods-tod-s-chain-cut-out-60-calfskin-leather-kate-wedges-black-black-4590331,,wedges,https://dynamic.zacdn.com/hYxeNj57nyCb_-WhR_ABH6vcnag=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tods-9203-1330954-1.jpg,
https://www.zalora.co.id/p/valentino-garavani-valentino-garavani-rockstud-100-cut-out-wedge-black-black-4719633,,wedges,https://dynamic.zacdn.com/0CDotYcVNMkp38pjtTsFSTMtVOk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-garavani-4536-3369174-1.jpg,
https://www.zalora.co.id/p/valentino-garavani-valentino-garavani-rockstud-100-cut-out-wedge-rose-canelle-brown-4512670,,wedges,https://dynamic.zacdn.com/D-oU-Kho77vdkbIuGuhPjWHzJ8Y=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-garavani-0209-0762154-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-cf-wdg-sling-80mm-azure-blue-lemon-p-sepatu-wanita-biru-blue-4037922,,wedges,https://dynamic.zacdn.com/V_DuoV38PNxxVAus_gkOzNIt8Lc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-1429-2297304-1.jpg,
https://www.zalora.co.id/p/tods-tod-s-kate-metal-chain-strappy-leather-sandals-black-black-4004245,,wedges,https://dynamic.zacdn.com/8ZmaDXQIE7sbdXVhKqj_6Ww4lMs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tods-5069-5424004-1.jpg,
https://www.zalora.co.id/p/valentino-garavani-valentino-garavani-rockstud-95-ankle-strap-espadrilles-wedges-morning-dew-multicolor-green-3986003,,wedges,https://dynamic.zacdn.com/6VH1KAHIbHBPeHh5KLsRKoVwy-4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-garavani-4897-3006893-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-pyraclou-60-espadrilles-slingback-wedges-black-black-4672843,,wedges,https://dynamic.zacdn.com/dqHOyPySDQjDc-bbrwUKCRfmKZQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-6472-3482764-1.jpg,
https://www.zalora.co.id/p/tods-tod-s-chain-cut-out-60-calfskin-leather-kate-wedges-white-white-4480816,,wedges,https://dynamic.zacdn.com/ryN-obrYVuFPZgpV2XbyyZ1eo-0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tods-8400-6180844-1.jpg,
https://www.zalora.co.id/p/valentino-garavani-valentino-garavani-rockstud-95-ankle-strap-silk-metallics-sandal-wedges-light-ivory-white-3706520,,wedges,https://dynamic.zacdn.com/cWBj0A9XNCLIXJUkq5yGaGgzjfo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-garavani-4477-0256073-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-pyrastass-110-nappa-leather-strass-espadrilles-black-black-4468149,,wedges,https://dynamic.zacdn.com/rQhY74xuKzSkOFsemi1VygZuBdc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-4962-9418644-1.jpg,
https://www.zalora.co.id/p/valentino-garavani-valentino-garavani-rockstud-95-ankle-strap-silk-sandal-wedges-black-black-3706523,,wedges,https://dynamic.zacdn.com/DSCtj7QWmf6yCSD3h99k43W3FfI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-garavani-7628-3256073-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-pyraclou-110-spikes-wedges-glitter-black-black-3985997,,wedges,https://dynamic.zacdn.com/XBxzpZsU3_CHeoaypkVcgHUYhT0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-1816-7995893-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-supramariz-130-velvet-sandals-wedges-black-black-4549268,,wedges,https://dynamic.zacdn.com/z2oHoQnbDB6Onv7Ei1_a6wGGNH0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-1289-8629454-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-pyraclou-110-metal-patent-leather-linen-mauve-multi-4641620,,wedges,https://dynamic.zacdn.com/GOaF3WO4uCj7DpmuyMSw5LvlIFI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-6116-0261464-1.jpg,
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-malta-wedge-sepatu-wanita-beige-3725950,,wedges,https://dynamic.zacdn.com/wymDPBDMoZuuzh7Su25YmAq2a0g=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-3609-0595273-1.jpg,
https://www.zalora.co.id/p/saint-laurent-saint-laurent-cassandra-115-smooth-leather-espadrille-wedge-dark-chocolate-brown-3713928,,wedges,https://dynamic.zacdn.com/fMmiPm8kBhcwXSgoYqnPep1SyQI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/saint-laurent-2591-8293173-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-pyraclou-110-spikes-wedges-patent-leather-piou-piou-multi-4018913,,wedges,https://dynamic.zacdn.com/orqxj4S-U1UoBK6gUs06CHFG03o=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-1855-3198104-1.jpg,
https://www.zalora.co.id/p/saint-laurent-saint-laurent-tribute-130-calfskin-leather-espadrilles-wedge-porcellana-brown-3748554,,wedges,https://dynamic.zacdn.com/uQ1b6asLabMkRVIIgZA330nNpd4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/saint-laurent-1684-4558473-1.jpg,
https://www.zalora.co.id/p/christian-louboutin-christian-louboutin-madmonica-120-wedges-denim-blue-blue-4109011,,wedges,https://dynamic.zacdn.com/cGYTbmOFPchDd62JM1IaV8kPTqA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/christian-louboutin-1962-1109014-1.jpg,
