link,brand,category,image,price
https://www.zalora.co.id/p/ferragamo-mikela-leather-slides-zt-black-4259865,Ferragamo,sandals,https://dynamic.zacdn.com/NLRHBVIbepDwFoyCiuM9QSWZZ1Y=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/ferragamo-6844-5689524-1.jpg,Rp 24.719.000
https://www.zalora.co.id/p/valentino-roman-stud-flat-sandals-ik-beige-4697224,Valentino,sandals,https://dynamic.zacdn.com/CSRea0L3fwbBLJo2NPZfS9j3JgE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0901-4227964-1.jpg,Rp 18.529.000
https://www.zalora.co.id/p/valentino-roman-stud-flat-sandals-ik-white-4697226,Valentino,sandals,https://dynamic.zacdn.com/OJEIGO1nIB5DJrZ9NuoCYJZKLNk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-0901-6227964-1.jpg,Rp 18.529.000
https://www.zalora.co.id/p/salvatore-ferragamo-gancini-ornament-flat-slides-ik-brown-4716291,Salvatore Ferragamo,sandals,https://dynamic.zacdn.com/23hOhOryH1FLb9Ujbkvn9Lx5dd8=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-2598-1926174-1.jpg,Rp 13.889.000
https://www.zalora.co.id/p/salvatore-ferragamo-gancini-ornament-flat-slides-ik-black-4716299,Salvatore Ferragamo,sandals,https://dynamic.zacdn.com/-0wAFsC7uQuJB3fLIhV3-BH8cv4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-2611-9926174-1.jpg,Rp 13.889.000
https://www.zalora.co.id/p/valentino-garavani-valentino-garavani-toile-iconographe-double-strap-sandal-slide-navy-off-white-multi-4335034,Valentino Garavani,sandals,https://dynamic.zacdn.com/OWNX2nu5eW-B_roodDNXJQD-PE0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/valentino-garavani-4504-4305334-1.jpg,Rp 16.470.000
https://www.zalora.co.id/p/gianvito-rossi-ribbon-downtown-gladiator-sandals-ik-gold-4288619,Gianvito Rossi,sandals,https://dynamic.zacdn.com/pMNjExKENkDT314qbd3glhN8b04=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/gianvito-rossi-4834-9168824-1.jpg,Rp 19.149.000
https://www.zalora.co.id/p/salvatore-ferragamo-gancini-slides-tr-orange-4497069,Salvatore Ferragamo,sandals,https://dynamic.zacdn.com/1t-BE2p3ddltOczdQTXJ20vWUCI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/salvatore-ferragamo-2205-9607944-1.jpg,Rp 14.779.000
https://www.zalora.co.id/p/saint-laurent-saint-laurent-cassandra-sandals-in-patent-leather-black-black-4312995,SAINT LAURENT,sandals,https://dynamic.zacdn.com/8uX4oK0yjB3bxHJp-EOWNPPoVFI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/saint-laurent-5684-5992134-1.jpg,Rp 12.040.000
https://www.zalora.co.id/p/bally-bally-joria-leather-white-4325410,Bally,sandals,https://dynamic.zacdn.com/MCdl5MIP87eNXnkshPMdG8WiQvQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-9816-0145234-1.jpg,Rp 8.250.000
https://www.zalora.co.id/p/bally-bally-joria-leather-black-4325381,Bally,sandals,https://dynamic.zacdn.com/wcqRil21hIJJ5K9AkqPmOQE4Ecg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/bally-9754-1835234-1.jpg,Rp 8.250.000
https://www.zalora.co.id/p/tory-burch-mini-everly-heeled-sandals-nt-white-4270460,TORY BURCH,sandals,https://dynamic.zacdn.com/AUQ_wjlfR-8eOjNQEhpuhFpfOIU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-0409-0640724-1.jpg,Rp 11.779.000
https://www.zalora.co.id/p/saint-laurent-saint-laurent-tribute-calf-patent-leather-flat-sandal-black-black-4313001,SAINT LAURENT,sandals,https://dynamic.zacdn.com/LW62erp7ucRhbrhEH0BaOEvOc90=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/saint-laurent-5658-1003134-1.jpg,Rp 10.530.000
https://www.zalora.co.id/p/burberry-burberry-check-cotton-pool-slides-birch-brown-brown-4169854,Burberry,sandals,https://dynamic.zacdn.com/cNM0XozpBP0g0nUTo07ImYTJaiw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/burberry-4739-4589614-1.jpg,Rp 10.080.000
https://www.zalora.co.id/p/tory-burch-miller-pave-knotted-sandal-nt-pink-4681488,TORY BURCH,sandals,https://dynamic.zacdn.com/xAOLKaODGW2EW79IWatj1FUzMP0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-0815-8841864-1.jpg,Rp 9.149.000
https://www.zalora.co.id/p/tory-burch-miller-pave-knotted-sandals-nt-black-4681549,TORY BURCH,sandals,https://dynamic.zacdn.com/PIAtOTOtsUKbh-D1I6UZN45geoc=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1995-9451864-1.jpg,Rp 9.059.000
https://www.zalora.co.id/p/tory-burch-miller-pave-knotted-sandals-nt-silver-4681517,TORY BURCH,sandals,https://dynamic.zacdn.com/A7k8N1lX1R_Fsoi6DXs03ZcFA14=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-1968-7151864-1.jpg,Rp 9.149.000
https://www.zalora.co.id/p/tory-burch-miller-pave-knotted-sandals-nt-blue-4681610,TORY BURCH,sandals,https://dynamic.zacdn.com/4Vn7sp946sEwnTV2nCbLpYUBvyA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2048-0161864-1.jpg,Rp 9.149.000
https://www.zalora.co.id/p/tory-burch-miller-soft-sandals-nt-white-4491163,TORY BURCH,sandals,https://dynamic.zacdn.com/mU2ss0SWpbjx0Moz0CyzaXwAJiQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-8409-3611944-1.jpg,Rp 7.029.000
https://www.zalora.co.id/p/tory-burch-ines-sandals-nt-brown-4297341,TORY BURCH,sandals,https://dynamic.zacdn.com/SKyW9CSaTyd_yBpiX8eSTpHQ86Y=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2434-1437924-1.jpg,Rp 6.489.000
