link,brand,category,image,price
https://www.zalora.co.id/p/converse-chuck-70-sneakers-white-4590214,Converse,sneakers,https://dynamic.zacdn.com/LNzmnxdo4u2pW7m8MP8PDCfjXyI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-1733-4120954-1.jpg,Rp 1.499.000
https://www.zalora.co.id/p/converse-chuck-taylor-all-star-canvas-shoes-hi-black-2346613,Converse,sneakers,https://dynamic.zacdn.com/VIzrpTo0JFoaiNnYw_tBMZrLxF4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-3600-3166432-1.jpg,Rp 899.000
https://www.zalora.co.id/p/converse-chuck-taylor-70-s-ox-sneakers-white-1609386,Converse,sneakers,https://dynamic.zacdn.com/6e0uoXklYRIIdY9COg7Vu5UT3Mk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-4036-6839061-1.jpg,Rp 1.199.000
https://www.zalora.co.id/p/converse-chuck-taylor-all-star-canvas-shoes-ox-black-2346612,Converse,sneakers,https://dynamic.zacdn.com/hhL1PjZ38eO-O28Sft3zItk21BA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-3945-2166432-1.jpg,Rp 859.000
https://www.zalora.co.id/p/converse-chuck-taylor-all-star-hi-sneakers-black-3093422,Converse,sneakers,https://dynamic.zacdn.com/Gg_KDa23S429UobNKMIEiZi2iZ0=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-6201-2243903-1.jpg,Rp 1.299.000
https://www.zalora.co.id/p/converse-chuck-taylor-70-s-hi-sneakers-white-2976467,Converse,sneakers,https://dynamic.zacdn.com/FlcyR_4u960RJEEM3kuLiMuyZQs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-4834-7646792-1.jpg,Rp 1.299.000
https://www.zalora.co.id/p/converse-run-star-legacy-cx-sneakers-pink-4590212,Converse,sneakers,https://dynamic.zacdn.com/XB874wzEHpqOkL4hTMwfnJNttIs=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-2563-2120954-1.jpg,Rp 1.799.000
https://www.zalora.co.id/p/hush-puppies-dallas-pink-4421064,Hush Puppies,sneakers,https://dynamic.zacdn.com/3UF6vUFURpEmneu305Qfj1QPqUo=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-4506-4601244-1.jpg,Rp 1.199.000
https://www.zalora.co.id/p/hush-puppies-dallas-white-4421066,Hush Puppies,sneakers,https://dynamic.zacdn.com/Cua8UdLbpXo9V_AqAZOhmZYu20s=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/hush-puppies-3695-6601244-1.jpg,Rp 1.199.000
https://www.zalora.co.id/p/converse-chuck-70-wedge-black-4705907,Converse,sneakers,https://dynamic.zacdn.com/jaO7ksG_Ikgs3KMHhOPQMerkVdw=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-2783-7095074-1.jpg,Rp 1.499.000
https://www.zalora.co.id/p/converse-run-star-hike-ox-sneakers-black-3106648,Converse,sneakers,https://dynamic.zacdn.com/ZpicaRlfzEOrBsWmR9Sk38kHraY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-8055-8466013-1.jpg,Rp 1.099.000
https://www.zalora.co.id/p/converse-chuck-70-plus-xhi-white-4663501,Converse,sneakers,https://dynamic.zacdn.com/Wq5IDBbsUIhkoIHDskR72WmXVxk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-9358-1053664-1.jpg,Rp 1.999.000
