link,brand,category,image,price
https://www.zalora.co.id/p/tory-burch-everly-wedge-65-sandals-bb-brown-4594010,TORY BURCH,wedges,https://dynamic.zacdn.com/-ZhIrWTbRBfPAGdz1nECBRZNmQU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-4145-0104954-1.jpg,Rp 8.429.000
https://www.zalora.co.id/p/tory-burch-everly-wedge-65-sandals-bb-black-4593996,TORY BURCH,wedges,https://dynamic.zacdn.com/hdwXZo0dOL6QXrFapOOkn2LNLe4=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/tory-burch-2835-6993954-1.jpg,Rp 8.429.000
https://www.zalora.co.id/p/linea-4ccccees-mellow-me-sandals-plum-red-4635045,Linea,wedges,https://dynamic.zacdn.com/jw845Slqk3Dw17A19h-m49BNT44=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-9405-5405364-1.jpg,Rp 4.999.000
https://www.zalora.co.id/p/michael-kors-alma-gold-logo-strap-wedge-sandals-cq-gold-4688752,MICHAEL KORS,wedges,https://dynamic.zacdn.com/rXsPopx454SX0ERscDVME2ITgUk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-2018-2578864-1.jpg,Rp 4.969.000
https://www.zalora.co.id/p/michael-kors-alma-logo-strap-wedge-sandals-cq-white-4688745,MICHAEL KORS,wedges,https://dynamic.zacdn.com/SqSR2CYIA8QciNwi1d3VgOGzLvE=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/michael-kors-2011-5478864-1.jpg,Rp 4.969.000
https://www.zalora.co.id/p/dr-martens-dr-martens-clarissa-ii-women-s-leather-platform-sandals-black-4717852,Dr. Martens,wedges,https://dynamic.zacdn.com/wEZBk49X8bLVVTu9Q3A9Knar3FU=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/dr-martens-5385-2587174-1.jpg,Rp 3.199.000
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-malta-wedge-sepatu-wanita-beige-3725950,Cole Haan,wedges,https://dynamic.zacdn.com/wymDPBDMoZuuzh7Su25YmAq2a0g=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-3609-0595273-1.jpg,Rp 3.099.000
https://www.zalora.co.id/p/cole-haan-cole-haan-woman-malta-wedge-sepatu-wanita-hitam-black-3725641,Cole Haan,wedges,https://dynamic.zacdn.com/vxjsIOBYz-pCBWAHae9RR6O-LBI=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/cole-haan-3607-1465273-1.jpg,Rp 3.099.000
https://www.zalora.co.id/p/linea-unisa-majo-wedges-natural-brown-4646099,Linea,wedges,https://dynamic.zacdn.com/6serYT-7yNxPaCsU-sd2Rge9Sts=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-9410-9906464-1.jpg,Rp 3.399.000
https://www.zalora.co.id/p/louis-cuppers-louis-cuppers-slip-on-loafer-wedges-black-3677184,Louis Cuppers,wedges,https://dynamic.zacdn.com/QQO8fzUlz1JAbsBnAtpBOS0GTVA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/louis-cuppers-2858-4817763-1.jpg,Rp 3.672.000
https://www.zalora.co.id/p/louis-cuppers-louis-cuppers-slip-on-loafer-wedges-beige-3677178,Louis Cuppers,wedges,https://dynamic.zacdn.com/cruyphZnleLBNmgfcsjmx53VgjY=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/louis-cuppers-2859-8717763-1.jpg,Rp 3.672.000
https://www.zalora.co.id/p/linea-unisa-kebec-wedges-black-black-4646103,Linea,wedges,https://dynamic.zacdn.com/WvPFeepCx0KVMP_5dUcWWjunHbk=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-9409-3016464-1.jpg,Rp 3.199.000
https://www.zalora.co.id/p/linea-unisa-kebec-wedges-natural-brown-4646104,Linea,wedges,https://dynamic.zacdn.com/HHRdEt7L-hVJaENa8V3OW6h7peQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/linea-9415-4016464-1.jpg,Rp 3.199.000
https://www.zalora.co.id/p/esbe-by-stefani-bertha-esbe-macaria-roux-florentine-5cm-red-red-4693339,ESBE BY STEFANI BERTHA,wedges,https://dynamic.zacdn.com/V5AFQoOGBqvv2OXRn-5qnvMaUHQ=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/esbe-by-stefani-bertha-7208-9333964-1.jpg,Rp 2.599.000
https://www.zalora.co.id/p/esbe-by-stefani-bertha-esbe-macaria-roux-florentine-5cm-black-black-4693338,ESBE BY STEFANI BERTHA,wedges,https://dynamic.zacdn.com/SXKjyvc5nTceFgWwdypYTFKK_lg=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/esbe-by-stefani-bertha-7247-8333964-1.jpg,Rp 2.599.000
https://www.zalora.co.id/p/esbe-by-stefani-bertha-esbe-macaria-roux-florentine-5cm-white-white-4693336,ESBE BY STEFANI BERTHA,wedges,https://dynamic.zacdn.com/MpT6ebZ-0xoSZ0BJ6wtM_XudtwA=/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/esbe-by-stefani-bertha-7218-6333964-1.jpg,Rp 2.599.000
